Method,NMI,ARI,Silhouette_cosine
KMeans (CLR),0.4729869381232796,0.12546600102643798,0.19826559722423553
KMeans (AitchisonPCA),0.35198892538044063,0.06778274560149394,0.12311136722564697
KMeans (Jaccard PCoA),0.2684572179393482,0.050374552445569785,-0.0205332450568676
KMeans (MDS),0.3350171109883949,0.07919660994663918,0.0180505383759737
KMeans (PCA),0.3450624874171204,0.0512604927697487,0.049554381519556046
KMeans (PHATE),0.4327380867132065,0.07935460668803777,0.15781854093074799
KMeans (PaCMAP),0.4743780859566723,0.09243630738766127,0.18446120619773865
KMeans (SONG),0.4766689670907837,0.1053100615971783,0.18592962622642517
KMeans (UMAP),0.47405826839115117,0.10554797380958629,0.2106368988752365
KMeans (t-SNE),0.4608895514265948,0.11435901484339735,0.20490078628063202
KNN+DMoN,0.36118619337906094,0.07648844530250751,0.07138363271951675
KNN+MinCutPool,0.3864051772399237,0.07364741133644549,0.3009633421897888
