,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98
H10,-7.525263,-4.060461,-6.7963486,0.6987107,0.9303872,-5.2073994,1.849579,-7.847608,8.170792,6.6570163,2.3857996,-1.9402813,-3.239008,0.51844746,-2.7409174,1.2947805,1.0660024,-1.6548094,-3.4284372,-6.264522,-0.3911828,0.79332376,-0.5894622,3.1207383,0.97063863,1.615777,2.9564152,-1.0570929,2.658525,2.8699281,-1.1011044,1.9169352,3.5288997,-1.7183608,2.5556722,-3.356775,-3.7888646,1.20273,-1.5944594,-2.7701435,3.8069847,-4.40839,8.269469,-1.5774328,-2.4800043,-3.1804898,-3.2888944,-0.7305057,1.5006016,1.5262567,-0.8849083,0.8062914,-0.63621336,-2.9630504,-1.2103505,-2.406644,3.4151297,1.8776602,1.285447,-0.56073856,0.7711687,-1.9367652,0.52998245,0.71678877,0.5327076,1.2059293,-0.6356581,-2.1358917,2.7967398,0.12720124,-0.97198224,1.6683128,-0.15592353,2.536384,0.2242868,2.4085283,0.6048667,-1.8865253,-0.9092244,-0.87810117,-0.90743405,0.44909334,0.6228518,1.2714832,-1.0827447,-0.053157326,-0.82311064,-1.1533887,1.1309307,0.61119,1.016331,-0.71237326,1.0400199,-1.0186021,1.4724251,-3.209043,-0.92592716,-0.9550727
H11,-6.767716,-7.819556,-2.2395988,1.4469455,-2.2071488,-8.123113,1.5915653,-4.2818384,5.0284357,7.7758,3.3804257,-0.5557868,-1.9622735,-1.2344221,-0.27840737,0.89965653,-0.24019429,-0.81001484,-1.1501232,-5.334436,-2.4288259,0.96863097,-1.5733547,1.7073877,-1.1429964,1.5202603,1.1816348,-0.03757307,1.7848533,4.053941,-1.173101,2.3289807,4.9918594,-2.5286572,1.9033344,0.45147565,-1.7928407,-1.0952067,-0.57214624,-0.16884074,1.3496144,-1.2553393,3.4249012,-1.0355725,-2.2158582,-0.6100053,-1.6285776,-0.66587454,-0.97378373,1.4537396,1.9267867,0.7094563,-2.062359,-2.002091,-0.98316944,-3.0691266,-1.178337,1.4422712,1.8182318,0.26405397,0.53753006,-3.5170965,-0.4712034,0.8493228,2.2635317,-0.008069928,-2.2545822,-0.09690897,3.507841,0.34112498,-0.7796175,2.447266,-1.6899703,1.3112358,2.7395115,1.8053862,-0.4713585,-0.17550452,0.25623143,-1.0358534,-0.7822742,0.44462442,1.032232,2.2423325,-0.82608235,-1.3153943,1.0272588,-0.120930135,-0.9470932,1.0569648,0.25129685,0.9108707,0.3357715,-1.5815309,-0.78371006,-1.6329447,-3.8745253,-0.30647954
H12,-5.362018,-7.3076773,-3.049936,2.050932,-2.3298287,-10.470909,2.149426,-3.8570776,3.8913991,5.5510044,2.6398528,-1.2036991,-1.4936717,-0.20442815,-0.10746594,0.6899558,-2.165316,-1.1409736,0.0036261063,-5.7224555,-1.4885862,0.44900858,0.92414844,1.4652698,-1.1558192,2.215893,0.038317002,0.30615464,0.30697954,4.101611,-3.1679459,2.538875,4.000689,-2.0185616,0.5765656,-1.603061,-2.1040747,-0.35047036,-0.49385083,0.9413038,0.2692418,-0.62059796,1.543645,1.8764794,-0.78713393,-0.7595793,-1.6654125,-0.44741288,1.3674535,1.1538465,0.35328734,1.1479834,-1.4436623,-1.0828105,0.1950851,-0.94048077,-0.17606895,0.85192794,1.260025,-0.13483243,-0.5395269,0.027702091,1.518943,-0.7614271,1.6090388,0.70874316,-0.7246291,1.324964,-0.6937711,0.20919749,1.2612971,1.2762915,-1.3705602,0.22594039,2.3816838,0.69212115,-1.0383356,-0.5117268,0.15309933,-0.86885536,-0.2264447,-0.16955401,-0.5051766,0.89267963,-0.6697981,-0.21457595,0.27883506,1.3911202,1.9737171,1.6455568,0.758478,1.7262067,1.483031,-2.2344599,-2.103961,-0.8392099,-1.1068213,1.465055
H13,-7.0671825,-3.9053535,-3.4770856,6.454257,-7.52059,-1.745999,6.591505,-9.098054,2.0915406,4.657945,1.6894882,3.8837018,-0.21456598,1.5188322,0.91924,-4.695832,-3.290644,-1.271287,1.7316067,-0.061205827,-1.8339378,-0.16929398,0.08430046,4.752461,1.6704253,3.792566,3.7414258,-2.045535,2.9581025,2.1038017,-4.07998,-1.9291303,0.43920058,-5.7203827,0.54013443,2.6746962,-2.2175622,-1.4129797,0.83432287,0.4204871,-0.88081235,-3.1060665,2.545498,0.5909473,-0.2830869,-3.9181755,-1.8306043,-1.1258622,-1.7126895,0.6821864,2.0919,1.2208537,-1.5420591,-2.3180046,-1.46658,-5.1373286,2.130711,0.0103134895,1.1733071,-0.38771614,2.0785098,2.2233722,1.8194062,-3.152219,-0.4555808,1.5431916,-0.021747898,-1.2893829,2.6324196,0.97253084,-0.45322412,2.4119315,1.0895717,1.5459789,3.1293507,0.16224486,-0.6014536,-3.041474,-2.0277338,-0.7758378,-1.2155915,-1.4873713,-1.5856142,1.0031952,-0.29720864,0.8809884,-0.62353647,-0.74301463,-0.36286005,-1.040019,1.5027784,0.52660525,0.07332769,1.1329019,-1.4435809,-2.620369,-0.67430395,2.5370061
H14,-7.856323,-3.2361479,-4.923387,5.3952217,-2.0887742,-0.17531422,5.7998586,-10.494245,4.0562963,3.8088837,2.6672516,2.9012759,-1.8080583,1.088535,1.1127962,-3.471714,-3.46941,-4.137026,0.12851939,-2.4435635,-4.962597,0.49441877,-4.5519767,3.6126819,3.398035,0.15747647,5.168613,0.23359527,4.8620663,3.629388,-2.0886996,-2.9790783,-0.8100963,-4.4832296,2.9220107,6.117622,-1.2578033,-1.9216398,2.9014187,-1.156086,0.29805696,-1.5570332,6.4107723,-0.36924955,-1.2618366,-6.1324005,-2.2611117,-0.5840422,3.3966844,-1.4536778,4.918915,-2.5182087,1.7427952,-0.2614711,-4.347782,-2.0334122,0.7913952,-0.91215914,2.9282084,-2.1715467,0.18419018,2.6427891,0.3305164,-0.5372839,-1.3429164,-3.4940338,-0.8083015,-1.8644806,2.228378,2.4214497,1.6450436,-0.8983003,-1.9452834,-1.8831118,0.17428523,1.0243226,-0.6156811,-2.37967,-2.8517866,0.88489187,-0.628708,-2.042648,-1.2082725,-0.8078743,-0.5647661,3.2247436,-1.0316842,-0.32431525,-0.63520175,1.7237667,-0.3267739,0.09414614,0.10739108,1.1751237,-1.0505408,-1.2624813,-0.14112698,1.7940083
H15,-5.636442,-6.414788,-2.9143033,4.516455,-6.706887,-6.205416,4.2384396,-6.392667,0.6004406,2.5998917,3.0075366,3.6564257,0.8333741,0.90320194,-0.8333161,-3.0061355,-5.6585436,0.79914075,0.7333909,-0.8452295,-1.2747391,-1.366235,1.4707026,2.064146,-0.8389794,3.8068156,-0.5479499,0.7650699,2.758742,2.1175468,-2.5517755,-0.39815137,2.9493608,-3.726208,2.853233,-0.9911691,-2.628766,-1.5178052,-0.14503455,0.029766167,-3.0951169,-1.3739557,3.04296,0.34011233,-0.5038628,-0.70947033,-1.2124587,-0.13727322,2.0544896,0.66164744,-0.89854896,-0.8825711,-2.432418,-0.36105552,0.33702686,0.11960885,-3.8174877,-0.48182392,0.7969648,-2.184484,-0.70197594,0.33000767,1.6576729,-1.7428623,0.6328876,1.0300621,-1.1832025,-2.3178792,2.3407218,-1.3266662,0.72407854,-0.9105855,-2.438275,0.7763293,-1.405674,0.488415,0.46852356,-0.8586409,0.6070626,0.19063215,-1.9240963,1.6674138,-2.2506633,-0.6653168,0.5795015,0.6634882,0.32816356,-0.7241896,-0.22182,3.3936718,1.5029172,-0.40987903,-0.8055757,-1.4563458,-1.2582443,-1.8174065,1.8965744,-0.102510266
H16,-8.836469,-3.7752602,-5.587201,1.3899586,-4.1168933,-7.594647,3.2744238,-10.374554,9.254237,5.9444866,-2.4513924,-0.39797807,-5.611316,-6.1337323,-2.0988998,-6.4570165,-0.7167614,3.7286344,3.5801876,-0.14209183,2.7143621,0.9233495,-0.68967825,6.116482,-2.315706,3.3170393,2.006693,-1.7272158,4.419548,2.1468413,-4.92533,-0.7958686,1.1273223,-2.0208492,1.1597322,2.6925604,-2.5705264,-0.18760057,1.9492502,-3.2427115,1.181394,-0.7122506,4.656168,0.13250004,-1.6750239,-4.697345,-2.0258176,-1.9799925,0.4970701,1.6541762,0.7503272,1.2712319,0.069718175,-0.6406485,-0.89061326,-3.827989,1.4364052,1.300002,-0.90151405,1.3057437,-1.2954314,2.0888596,4.19651,-0.16390045,-0.07738422,-3.165521,-2.1612732,-0.060118746,1.5781257,-1.8476088,1.7827337,3.562634,1.0948473,-0.56555843,0.7364972,0.31904143,-3.309912,-2.7602956,-1.9314821,-0.5555641,-1.1282759,-1.8421565,1.5031401,3.0975537,-0.83627415,0.51349235,0.118589945,0.9129956,1.9227282,-1.8146042,0.68569493,1.1827265,1.7868017,-0.77183837,-2.0145833,-1.5820893,-1.7901926,-0.35861248
H17,-10.2608385,-2.16323,-3.2523227,3.58458,-3.139085,-1.685629,6.6967826,-11.435397,4.8107224,4.342611,2.7714746,0.35716143,-1.3578126,1.0892156,-1.396826,-2.9508183,-0.7146628,0.07217925,-0.013898864,-0.68865776,-5.37469,-0.26746345,-4.416376,3.0740948,1.1255635,3.2253015,0.8725601,1.8265067,4.0411577,0.35480383,-2.1140296,-0.0805894,0.39888698,-1.4764972,1.4282913,2.7994835,-1.5558375,-1.8947814,2.5950582,-2.5565069,1.079293,-2.4721105,1.8938857,0.27225378,-2.4873414,-2.834466,-1.2362331,-1.8055722,2.3888824,0.10236135,3.5611136,-0.6113985,-1.2980556,-1.5006773,0.7427368,-0.26288706,-0.43148866,0.74828964,-0.37181985,0.25442192,-0.31124023,0.65091133,0.774453,0.89107424,0.09219619,-1.6047872,-0.84659636,1.0072796,0.83403254,-1.7533934,0.6436074,-0.23991536,0.87971604,-0.92713106,-0.16781384,-1.2823391,-1.5885913,-0.21795307,-2.3537333,-0.84416956,-4.1080537,-1.5794672,-1.1856916,0.9018728,2.8524957,3.4005313,-1.0879214,0.40170532,1.8784399,-1.2791669,-1.0266298,0.7343916,-0.8447966,-1.6147963,-0.40365687,-0.07276978,-0.4481234,0.90849644
H18,-8.427961,-3.3306265,-3.7503996,2.7864902,-4.199858,-4.5604653,6.5439134,-12.499245,5.6356225,5.9752975,1.7990572,0.9740002,0.08294791,1.7806456,-0.30779862,-1.0407945,-1.2393048,-1.4201176,1.9149305,-3.9792356,-5.767233,1.7345667,-2.8961115,3.0684423,-1.6420636,-1.7896929,-0.24260074,0.65918666,3.6684186,1.7577239,-0.7822404,-0.090727024,0.944059,-2.3942351,1.2401816,7.250375,-1.188788,-1.8777981,3.9589634,-1.1050762,2.814306,-2.2897358,1.1510414,-0.11324661,0.048455827,-5.2589755,-1.0067875,-1.70761,-0.26841155,0.42322773,1.1625625,-0.26402226,-0.31329736,1.0626941,2.9102,0.6431171,2.2649894,2.6964335,3.302879,0.39219087,-0.389174,-0.7931121,-0.22244196,-2.2350554,0.094197296,-2.4807222,0.76095426,-0.17718635,0.36547807,-1.1895934,1.4439632,-1.7304692,-0.44403583,-1.101614,3.5000083,1.5182396,-1.4437354,-1.5715996,-1.5425515,0.31302208,-0.3024705,-0.19557098,-0.71391386,-1.0426614,2.160015,2.1576736,-0.37730163,-0.55636644,-1.2520822,-0.6531117,0.66002524,1.4734877,0.28702992,1.0157464,-1.3179941,0.38636556,0.9487552,0.70510733
H19,-6.0313606,-6.0997567,-2.808612,1.7210325,-4.651394,-10.645086,3.2481575,-3.351631,5.3391414,5.520032,2.3071148,1.0021603,-0.6514439,-0.485291,0.9500088,-2.1157968,-3.72917,-0.94204545,-1.8927976,-6.88367,0.1812259,-3.4375432,2.7493024,1.125718,-0.23969384,5.191467,2.0398228,-0.6632596,-0.3213027,5.484418,-3.461848,2.7995517,6.7103934,-3.6637774,0.11791151,-0.9713095,-1.4954172,-0.98671407,0.18909438,1.683427,0.48095754,2.464812,2.8344536,1.167388,-0.5476,-1.2423218,-2.6668243,0.33061236,1.3800982,0.45574293,-0.39118674,0.2522572,-3.3126833,-0.7631387,1.3147928,-0.34681374,0.02802969,-1.4443518,1.3790785,-0.44840357,0.8272414,0.18325636,1.9341882,-0.07933118,2.214998,0.8881274,-1.1754347,-0.22427897,0.67824453,0.652813,1.6227489,0.08842589,-2.1910343,-0.6997827,1.7227769,-0.6669858,-0.066778906,1.125836,0.50218576,-0.7475756,-0.641223,1.6011555,-0.010293058,1.1306334,-0.93112856,-0.80222744,-0.442129,0.33780962,0.8325921,2.7724118,-0.021182833,1.5303484,0.59219867,-0.70349586,-0.40760228,0.16656071,-0.2187672,0.42611217
