,Dim1,Dim2
H10,-1.8242545,2.7762682
H11,-1.858578,2.8145049
H12,-1.7771118,2.8515542
H13,-1.89384,2.7190604
H14,-2.0104527,2.6765316
H15,-1.878519,2.7328868
H16,-1.8099861,2.7509966
H17,-1.9735693,2.687204
H18,-1.9220226,2.692517
H19,-1.9972161,2.7320693
H1,-1.860213,2.6652408
H20,-1.7897397,2.7443817
H21,-1.8526838,2.78616
H22,-1.6978656,2.9654934
H23,-2.0153852,2.6685526
H24,-1.8353733,2.709347
H25,-1.6348838,3.0962508
H26,-1.7655376,2.955119
H27,-1.5467188,3.1449943
H2,-1.8647665,2.862361
H3,-1.9009372,2.693605
H4,-1.7189796,2.8053784
H5,-1.8596302,2.8418279
H6,-2.0089386,2.6937506
H7,-1.7990195,2.7834866
H8,-1.7965457,2.954885
H9,-2.0798843,2.5819414
IT11,-2.5014029,2.8377206
IT13,-2.8827033,2.4986138
IT14,-2.9599016,2.8271263
IT1,-3.0876036,2.7395318
IT2,-6.126204,1.4488069
IT3,-5.3488555,1.734915
IT4,-3.0818403,1.6523916
IT5,-5.488964,1.5842613
IT6,-6.5184207,1.4947596
IT7,-3.035544,2.8480856
IT8,-2.1974823,3.0049553
MH0002,-18.576021,16.667345
MH0003,-19.003511,16.93256
MH0006,-18.471525,16.939205
MH0009,-18.169645,17.512148
MH0011,-18.598026,17.16419
MH0012,-18.576237,16.821014
MH0014,-18.631802,16.727236
MH0016,-18.536934,16.548147
MH0020,-18.60414,16.275764
MH0021,-18.221703,16.272383
MH0024,-18.415281,16.291767
MH0025,-18.230757,17.03942
MH0026,-18.03511,16.720245
MH0028,-18.56344,16.501623
MH0030,-17.91394,17.670341
MH0031,-17.95342,17.534187
MH0032,-18.277054,17.156466
MH0033,-18.531733,16.35333
MH0034,-17.977953,17.275167
MH0035,-18.853949,17.046295
MH0036,-18.42257,16.22152
MH0037,-18.660378,16.350029
MH0038,-18.697943,16.416758
MH0039,-18.191446,17.162918
MH0040,-18.422737,16.611498
MH0041,-18.771164,16.74051
MH0042,-18.602755,17.017883
MH0043,-18.923708,16.731346
MH0044,-18.284876,16.495644
MH0045,-18.506187,16.482513
MH0046,-18.163683,17.195883
MH0047,-3.7424831,1.5234056
MH0048,-18.350397,17.04814
MH0049,-17.879791,16.89187
MH0050,-18.401794,17.13528
MH0051,-18.102602,16.736332
MH0052,-18.085403,17.125137
MH0053,-17.710514,17.654991
MH0054,-18.243124,17.084711
MH0055,-18.559526,17.016617
MH0056,-18.481117,16.937187
MH0057,-18.496473,16.464062
MH0058,-18.388474,16.461565
MH0059,-18.286263,17.314814
MH0060,-18.223722,17.074163
MH0061,-18.365093,16.156727
MH0062,-18.752346,16.297333
MH0063,-18.002821,17.474575
MH0064,-18.228983,16.547886
MH0065,-18.337954,17.502323
MH0066,-18.704453,16.753065
MH0067,-18.335495,16.537102
MH0068,-18.807056,16.314629
MH0069,-18.456736,16.91502
MH0070,-18.794687,17.265242
MH0071,-18.496925,16.847315
MH0072,-19.004425,16.52113
MH0073,-18.65168,17.336403
MH0074,-18.634663,16.190458
MH0075,-18.40618,16.841972
MH0076,-18.38709,16.809095
MH0077,-18.502974,17.278002
MH0078,-17.838243,17.461775
MH0079,-17.883406,16.94354
MH0080,-18.591455,16.724897
MH0081,-18.325369,16.49968
MH0082,-18.416891,16.909971
MH0083,-18.587725,16.982681
MH0084,-18.032894,17.312943
MH0085,-18.448042,16.608887
MH0086,-19.037754,16.643803
MH0087,-3.8552654,2.9514022
MH0088,-18.92216,16.613958
MH0089,-18.857702,16.492321
MH0090,-18.255648,16.54502
MH0091,-17.946589,17.244255
MH0092,-18.702827,16.453932
MH0093,-18.233301,16.863668
MH0094,-18.108606,16.660225
MH0095,-18.492342,16.713455
MH0096,-17.956799,17.54931
MH0097,-18.382793,16.6894
MH0098,-18.311468,17.048065
MH0099,-18.564716,17.021746
MH0100,-18.615934,17.418543
MH0101,-18.800089,16.858912
MH0102,-18.631096,17.209816
MH0103,-18.02664,17.197504
MH0104,-18.557142,16.86153
MH0105,-18.114803,17.172646
MH0106,-17.94854,17.086973
MH0107,-18.870193,17.036364
MH0108,-18.090319,17.053135
MH0109,-18.404718,16.201036
MH0110,-18.68523,16.502783
MH0111,-18.876398,17.125923
MH0113,-18.332705,17.119492
MH0114,-18.68815,16.18632
MH0115,-18.771984,17.296099
MH0116,-18.878092,17.348927
MH0117,-18.236902,17.452236
MH0118,-18.137665,17.251205
MH0119,-18.32392,16.841202
MH0120,-18.082724,17.224958
MH0121,-18.619518,16.064468
MH0122,-18.994192,16.718714
MH0123,-18.562553,16.782251
MH0124,-18.325277,17.16474
MH0125,-18.782793,17.784388
MH0126,-18.101797,17.480621
MH0127,-18.42806,16.201797
MH0128,-18.292442,16.275597
MH0129,-18.822361,17.352695
MH0130,-17.7316,17.440344
MH0131,-18.712091,16.664478
MH0132,-18.034883,17.486044
MH0133,-18.456257,16.090336
MH0134,-18.776613,16.60614
MH0135,-18.998182,17.106312
MH0136,-18.577686,16.519985
MH0137,-18.29855,17.341381
MH0138,-17.953676,17.420088
MH0139,-18.504972,17.274075
MH0140,-18.421347,16.930326
MH0141,-18.384392,17.131712
MH0142,-18.725454,16.655643
MH0143,-18.433859,17.485167
MH0144,-18.28523,17.360039
MH0145,-18.500751,16.824963
MH0146,-18.487612,16.100615
MH0147,-18.573816,16.934908
MH0148,-18.408484,16.82901
MH0149,-18.507513,16.387957
MH0150,-18.814835,16.459064
MH0151,-18.339739,17.417046
MH0152,-17.879044,17.577261
MH0153,-18.702032,16.71073
MH0154,-18.176727,17.217499
MH0155,-19.013372,16.582745
MH0156,-18.560583,16.18401
MH0157,-18.47076,17.38214
MH0158,-18.682373,16.931574
MH0159,-18.680395,16.670568
MH0160,-18.642553,16.892775
MH0161,-18.919863,16.573582
MH0162,-18.700403,16.622782
MH0163,-18.135544,17.27178
MH0164,-17.80801,17.395325
MH0165,-18.22777,16.992285
MH0166,-18.429068,16.156275
MH0167,-18.559925,16.673264
MH0168,-18.1323,17.300013
MH0169,-18.203415,17.21458
MH0170,-18.667313,16.512205
MH0172,-18.623219,16.934467
MH0173,-18.278908,17.313498
MH0174,-18.513391,16.410374
MH0175,-18.16967,17.662241
MH0176,-18.40433,16.819813
MH0177,-18.728964,16.775982
MH0178,-18.512758,16.091284
MH0179,-18.356953,16.491926
MH0180,-18.479364,16.428701
MH0181,-18.679777,17.306646
MH0182,-18.686289,16.290525
MH0183,-18.477547,17.552124
MH0184,-19.000769,17.016815
MH0185,-19.034138,16.875986
MH0186,-18.543907,16.245823
MH0187,-18.243153,16.900099
MH0188,-18.73739,16.7565
MH0189,-17.90015,17.33755
MH0191,-18.362665,17.245995
MH0193,-18.733831,16.543047
MH0195,-18.655813,16.521004
MH0196,-18.589445,17.14744
MH0197,-18.494776,17.314945
MH0198,-18.658445,16.663982
MH0199,-19.042038,16.545698
MH0200,-18.06399,17.578325
MH0203,-18.711279,16.71353
MH0204,-18.974337,16.93929
MH0205,-19.154222,16.611814
MH0206,-18.675064,16.856012
MH0211,-18.800604,16.663626
MH0212,-18.860506,16.72286
MH0217,-18.583736,17.19072
MH0220,-18.300133,16.984259
MH0224,-18.575775,17.250439
MH0227,-18.530727,16.42648
MH0229,-18.999947,16.878742
MH0230,-18.878082,16.365047
MH0233,-18.56746,16.569695
MH0236,-19.360874,16.70903
MH0239,-18.653643,16.241215
MH0243,-18.215185,17.491396
MH0244,-18.136833,17.0552
MH0247,-18.337217,16.314428
MH0250,-18.963997,17.077946
MH0251,-18.728865,16.903551
MH0253,-18.63561,16.88556
MH0257,-18.05476,17.503777
MH0267,-18.940948,16.445621
MH0272,-18.946156,16.652733
MH0274,-19.458466,16.593803
MH0275,-18.967428,16.523556
MH0276,-18.345743,17.613115
MH0277,-18.142038,16.436304
MH0286,-18.458168,17.432678
MH0287,-19.315498,16.942554
MH0288,-18.260632,17.462933
MH0289,-18.949514,16.653023
MH0292,-19.052313,16.71463
MH0302,-18.666761,16.511372
MH0305,-18.779339,16.136845
MH0307,-18.345322,16.855267
MH0313,-18.164557,17.082146
MH0316,-18.5335,17.103874
MH0318,-18.24532,17.054237
MH0321,-18.317743,17.65076
MH0322,-18.17869,17.118385
MH0333,-18.609896,16.114662
MH0403,-18.727028,16.62826
MH0404,-18.482655,16.631311
MH0405,-18.061232,17.376385
MH0406,-19.004707,16.245005
MH0407,-17.857204,17.641
MH0408,-18.87073,16.937235
MH0409,-18.451084,16.674133
MH0410,-18.692844,16.543777
MH0411,-19.126118,16.642147
MH0412,-18.823612,16.84675
MH0413,-18.463238,17.413618
MH0414,-18.449173,17.075754
MH0415,-18.689392,17.203806
MH0416,-18.896177,16.974226
MH0417,-18.35887,17.099022
MH0418,-18.75562,16.691206
MH0419,-18.621738,16.259996
MH0420,-19.288729,16.572027
MH0421,-18.253952,17.511444
MH0422,-18.506823,16.390442
MH0423,-18.492287,17.138065
MH0424,-19.217539,16.914574
MH0425,-18.590689,16.173214
MH0426,-18.727962,16.878033
MH0427,-17.85862,17.397331
MH0428,-17.978075,17.606382
MH0429,-18.116503,17.415092
MH0430,-17.85175,17.448992
MH0431,-18.958008,16.954252
MH0432,-18.812449,16.515018
MH0433,-18.449966,16.860598
MH0434,-18.963,17.064749
MH0435,-18.918198,16.391981
MH0436,-18.117842,17.10538
MH0437,-18.398743,16.832766
MH0438,-18.822088,17.195189
MH0439,-18.392885,17.324146
MH0440,-18.770332,16.903008
MH0441,-18.710575,16.83857
MH0442,-18.653238,17.374575
MH0443,-18.54624,16.54847
MH0444,-18.281534,15.794513
MH0445,-19.206549,16.667961
MH0446,-18.78935,16.477226
MH0447,-18.314804,17.629816
MH0448,-18.44602,17.315165
MH0450,-18.859848,16.983696
MH0451,-18.555841,17.044153
MH0452,-18.733137,16.512495
MH0453,-18.727411,16.62578
MH0454,-18.569466,16.941156
MH0455,-18.81763,15.886915
MH0456,-18.838522,16.307026
MH0457,-18.65606,17.255886
MH0458,-18.665678,16.510477
MH0462,-18.94361,16.395458
G17953,11.889268,-11.261522
G17954,12.057563,-10.989232
G17955,11.727031,-10.530204
G17956,11.229872,-9.700372
G17957,12.284398,-10.688135
G17958,12.085045,-11.142379
G17959,12.881768,-10.993186
G17960,11.966213,-11.335203
G17961,12.454903,-11.073999
G17962,12.189169,-11.37367
G17963,11.74952,-10.394708
G17964,11.878668,-10.825336
G17965,11.132939,-9.73542
G26317,11.08042,-12.534831
G26318,11.976299,-12.777908
G26319,12.383604,-12.948845
G26320,12.492613,-12.331166
G26321,12.217977,-12.909634
G26322,12.728274,-11.166257
G26323,12.480696,-10.578004
G26324,11.571827,-12.522046
G26325,11.651305,-12.749134
G26326,12.073061,-12.999139
G26327,12.067611,-13.229056
G26328,12.180335,-13.181846
G26329,11.254094,-12.705691
G26330,11.305853,-10.004486
G26331,12.071425,-12.707405
G26332,11.278168,-12.664319
G26333,12.105148,-13.0039
G26334,11.301285,-12.717459
G26335,11.817735,-13.022537
G26336,11.98863,-12.911889
G26337,12.524584,-12.609526
G26338,12.143457,-13.141438
G26339,12.412803,-12.754604
G26340,12.068623,-12.454446
G26341,12.274873,-12.929801
G26342,12.33638,-13.093538
G26343,11.807876,-12.510077
G26344,12.364491,-12.743858
G26345,12.342457,-12.75651
G26346,11.812838,-12.429806
G26347,12.588663,-12.530062
G26348,12.337452,-13.113679
G26349,12.354311,-13.0555105
G26350,12.425699,-12.583798
G26351,9.925203,-8.368635
G26352,11.328028,-12.165694
G26353,11.348673,-12.369861
G26354,12.256975,-13.000607
G26355,11.332643,-12.234616
G26356,12.626089,-12.311572
G26357,11.891112,-13.065906
G36563,13.25653,-11.205919
G36564,13.875995,-10.812324
G36565,13.8851595,-10.342884
G36566,13.360835,-11.4698715
G36567,12.879228,-11.948416
G36568,11.278754,-9.5988865
G36569,13.549927,-11.275423
G36570,13.725198,-10.867198
G36571,13.724682,-11.197528
G36572,13.941695,-11.444981
G36573,14.063476,-11.753411
G36574,13.72154,-11.809284
G36575,13.936623,-11.840819
G36576,13.881024,-10.991151
G36577,13.791259,-11.739898
G36578,13.819524,-11.919703
G36579,13.815056,-11.856861
G36580,13.603901,-11.665722
G36581,13.757578,-10.261211
G36582,12.851452,-10.246773
G36583,13.968347,-11.283057
G36584,11.713863,-12.208617
G36585,11.409304,-10.901799
G36586,13.955266,-11.10448
G36587,11.877417,-9.959429
G36588,13.387194,-9.834464
G36589,12.0074835,-9.744115
G36590,12.068639,-9.927946
G36591,11.400396,-9.55877
G36592,13.847553,-11.102082
G36593,13.600018,-11.952709
G36594,13.755818,-10.595512
G36595,13.8809,-10.632814
G36596,13.310921,-11.715219
G36597,13.784635,-11.9394245
G36598,12.769808,-11.806536
G36599,12.585489,-11.229067
G36600,13.854531,-11.775682
G36601,13.153576,-10.94466
G36602,11.844009,-9.584345
G36603,14.067657,-11.64735
G36604,13.507462,-10.78036
G36605,13.910272,-11.107646
G36606,12.800676,-10.13572
G36607,13.727008,-11.246318
G36608,13.729965,-11.71054
G36609,13.57118,-11.281228
G36610,14.073813,-11.126503
G36611,12.936943,-11.628748
G36612,14.02472,-11.560392
G36613,13.677871,-11.803691
G36614,13.865747,-11.683679
G36615,12.145341,-12.105155
G36616,13.911927,-11.847621
G36617,13.167553,-10.664738
G36618,12.82432,-10.747482
G36619,13.642736,-10.900446
G36620,13.93992,-11.072906
G36621,13.860159,-11.458244
G36622,11.768835,-11.959853
G36623,13.528591,-11.337666
G36624,12.037646,-12.056797
G36625,14.003329,-10.878081
G36626,12.944957,-11.370084
G36627,13.191244,-11.168509
G36628,12.962427,-11.099987
G36629,13.755321,-10.661738
G36630,12.175091,-11.873697
G36631,13.265557,-11.220468
G36632,13.50061,-11.233782
G36633,14.072941,-11.495628
G36634,12.98017,-10.672698
G36635,14.123415,-11.088942
G36636,13.964546,-11.063274
G36637,14.114904,-11.106133
G36638,13.762425,-11.057218
G36639,13.644442,-11.237632
G36640,13.766322,-10.843713
G36641,14.001179,-11.0056
G36642,13.950297,-10.580785
G36643,14.080536,-10.992668
G36644,13.976454,-11.0363035
G36645,13.671295,-10.738761
G36646,12.923297,-11.4750595
G36647,13.75246,-10.947818
G36648,13.523484,-11.442375
G36649,13.746012,-10.4405
G36650,13.953141,-10.729555
G36651,13.986584,-10.8953285
G36652,13.814571,-10.1901865
G36653,14.050568,-10.655567
G36654,13.877232,-11.449759
G36655,12.877155,-9.753186
G36656,13.208761,-9.366741
G36657,13.27601,-9.626887
G36658,9.957413,-8.400003
G36659,12.651172,-9.967951
G36661,13.36513,-10.806917
G36662,12.710722,-9.653643
G36663,12.557537,-10.067162
G36664,13.108655,-9.5801
G36665,13.196871,-9.33604
G36666,12.600906,-10.313104
G36667,12.772702,-10.335851
G36668,12.720229,-10.390356
G36669,13.220827,-9.39804
G36670,13.132669,-9.434095
G36671,13.142786,-9.27924
G36672,13.028685,-9.978558
G36673,12.803888,-10.759228
G36674,13.174324,-9.247944
G36675,12.893542,-10.393051
G36676,12.545352,-10.301591
G36677,13.071738,-9.362279
G36678,11.856027,-10.980525
G36679,12.945459,-9.962067
G36680,13.169692,-9.437357
G36681,13.073061,-9.4678335
G36682,12.84155,-9.530577
G36683,12.896759,-9.968542
G36684,11.985769,-11.630705
G36685,13.225524,-9.389444
G36686,12.966759,-9.434906
G36687,13.064284,-9.5342245
G36688,13.073921,-9.4105015
G36689,13.093747,-9.533427
G36690,13.191564,-9.310407
G36691,12.583823,-9.864812
G36692,12.08719,-10.493352
G36693,12.458837,-9.558281
G36694,13.655551,-10.079605
G36695,12.292897,-9.793582
G36696,12.816721,-9.884254
G36698,12.527798,-9.990795
G36699,12.726126,-10.443329
G36700,11.43122,-9.754863
G36701,11.395954,-10.1807
G36702,11.473908,-9.805029
G36703,13.217048,-9.974028
G36704,11.762146,-10.070538
G36705,11.606626,-10.194902
G36706,12.876724,-10.966113
G36707,11.75982,-10.312828
G36708,12.87135,-10.701807
G36709,13.1154995,-9.388457
G36710,13.26212,-9.868348
G36711,12.168586,-10.481257
G36712,12.0317,-9.899784
G36713,11.793935,-10.075597
G36714,12.459436,-10.254483
G36715,13.292204,-10.57901
G36716,13.117409,-9.51201
G36717,12.15034,-10.4871645
G36718,13.189227,-9.555528
G36719,11.663328,-9.700961
G36720,11.6519,-10.540453
G36721,11.608383,-10.330525
G36722,13.11393,-9.291159
G36723,12.058991,-10.849292
G36724,11.217361,-9.785504
G36725,11.361562,-9.741724
G36726,11.255162,-9.668442
G36728,10.4928875,-8.946512
G36729,11.918645,-10.532475
G36730,12.898221,-10.949667
G36731,11.728125,-10.038272
G36732,11.393941,-9.883125
G36733,11.798584,-9.935933
G36734,11.697553,-11.01956
G36735,11.521168,-10.788152
G36736,11.968712,-11.094639
G36737,12.426825,-10.22354
G36738,11.784317,-10.44126
G36739,11.571757,-9.992785
G36740,13.050605,-10.080555
G36742,12.058495,-10.061865
G36743,12.33379,-10.944745
G36744,13.048969,-9.6389675
G36745,12.955457,-11.01451
G36746,13.30005,-10.837319
G46934,11.905797,-9.607328
G46938,12.514258,-9.537049
G46939,9.934805,-8.369828
G46940,10.942865,-9.288422
G46942,11.063648,-9.882412
G46943,11.089754,-9.750918
G46944,9.986401,-8.423055
G46946,11.441303,-9.480113
G46947,11.323013,-9.525877
G46948,9.935863,-8.38125
G46949,10.20131,-8.656599
G46953,10.011723,-8.452457
G46954,11.517635,-9.706545
G46955,11.199876,-9.393968
G46957,9.956425,-8.393133
G46958,10.110317,-8.546581
G46959,9.927015,-8.35822
G46960,9.922452,-8.356519
G46962,11.434381,-9.446363
G46963,9.940766,-8.366984
G46964,9.956788,-8.397688
G46966,10.805594,-9.462239
G46967,10.211911,-8.652787
G46968,10.2563,-8.644684
G46969,10.9338665,-9.273861
G46970,11.172956,-9.71719
G46971,11.209809,-9.938957
G46972,9.904213,-8.341416
G46975,12.697011,-9.611784
G46976,12.460354,-9.763052
G46977,12.199025,-9.75597
G46978,12.183465,-9.74361
G46979,12.109646,-9.568087
G46980,12.087321,-10.011661
G46981,11.157878,-9.761149
G46982,12.063177,-9.513368
G46983,11.952838,-9.561876
G46984,12.346114,-9.568704
G47921,11.036248,-9.484471
G51191,12.94494,-12.122127
G51192,12.265307,-9.671142
G51193,12.515693,-9.673077
G51194,12.065371,-10.463235
G51195,12.536508,-9.883021
G51196,12.719693,-9.824025
G51197,13.61551,-10.958164
G51198,12.79568,-9.925339
G51199,12.880225,-11.599494
G51200,13.421709,-10.680205
G51201,13.455683,-11.111435
G51202,13.24906,-10.832872
G51203,12.64105,-11.734405
G51204,12.623787,-11.810229
G51205,13.136792,-11.94351
G51206,13.487787,-11.824737
G51207,12.510611,-11.884582
G51208,12.715506,-11.91753
G51209,13.269188,-11.784575
G51210,12.384786,-11.855677
G51211,12.771891,-10.735471
G51212,13.313287,-11.379563
G51213,11.37789,-10.419795
G51214,11.422814,-9.958073
G51215,10.245961,-8.658745
G51216,11.838891,-10.864005
G51217,12.310984,-10.085062
G51218,11.627945,-10.786682
G51219,11.855789,-10.281477
G51220,12.113329,-10.946648
G51221,13.100076,-11.429259
G51222,13.785325,-11.280941
G51223,12.306003,-10.599259
G51224,11.682256,-10.212479
G51225,13.612657,-11.785032
G51226,13.506695,-11.720033
G51227,12.268748,-11.915545
G51228,12.79615,-11.43448
G51229,12.736998,-10.651591
G51230,13.028905,-11.499398
G51231,12.616408,-11.855269
G51232,13.348616,-10.706714
G51233,12.011076,-10.639555
G51234,12.600197,-9.911086
G51235,11.857367,-10.313457
G51236,12.14611,-10.650644
G51237,12.773192,-9.888755
G51238,12.29035,-11.11386
G51239,11.689083,-10.6999
G51240,12.42901,-10.438778
G51241,11.660274,-10.1777
G51242,12.473181,-10.845969
G51243,12.580767,-10.001888
G51244,12.973716,-9.963297
G51245,13.332935,-11.713606
G51246,13.613878,-11.190497
G51247,12.770823,-10.925603
G51248,11.888569,-11.014675
G51249,12.75314,-11.060619
G51250,12.721794,-10.480197
G51251,12.201092,-9.968635
G51252,13.288247,-11.767849
G51253,11.45672,-11.173438
G51254,11.464712,-12.000156
G51255,11.502065,-11.00679
G51256,11.438657,-12.56431
G51257,11.275761,-12.470722
G51258,11.351414,-12.37455
G51259,11.115865,-12.448573
G51260,11.743916,-12.314243
G51261,11.906925,-11.14318
G51262,11.090452,-12.602882
G51263,12.643548,-11.932243
G51264,11.991475,-11.279742
G51265,12.210039,-11.179844
G51266,11.039279,-12.553813
G51267,11.495515,-11.13853
G51268,13.324779,-11.376144
G51269,11.151206,-12.447778
G51270,11.251352,-12.378585
G51271,11.203763,-12.529325
G51272,11.761476,-12.567159
G51273,11.721671,-12.47044
G51274,11.013502,-12.627546
G51275,11.230766,-12.395468
G51276,11.086177,-12.614787
G51277,11.303399,-12.393754
G51278,11.177104,-12.480428
G51279,10.988728,-12.66028
G51280,12.123179,-12.154667
G51281,11.56024,-12.513444
G51282,11.576178,-12.640818
G51283,12.687794,-11.886072
G51284,12.550427,-11.806158
G51285,11.814691,-12.340122
G51286,13.0241995,-11.13544
G51287,12.211192,-11.807397
G51288,12.797614,-11.052993
G51289,11.900226,-11.894405
G51290,13.000202,-10.907211
G51291,11.471747,-11.906633
G51292,12.055889,-12.046128
G51293,12.3656435,-11.882115
G51294,11.5044985,-12.152661
G51295,11.327348,-12.405209
G51296,11.046008,-9.468997
G51297,11.103541,-12.493924
G51298,13.161548,-10.914272
G51299,13.870368,-11.159464
G51300,12.496431,-10.847828
G51301,11.001536,-12.443579
G51302,12.829671,-11.632901
G51303,11.569567,-11.847885
G51304,11.325378,-12.205132
G51305,11.122113,-12.414718
G51306,12.667851,-10.787272
G51307,11.734445,-11.823527
G51308,13.32803,-11.819413
G51309,11.582908,-11.273845
G51310,12.027913,-10.326712
G51311,12.957235,-11.73312
G51312,11.398707,-9.6856575
G51313,11.4339075,-10.163858
G51314,11.978148,-11.341727
G51315,11.6771,-12.096461
