,Dim1,Dim2
H10,1.4835749,-11.43676
H11,1.3810511,-11.547778
H12,1.4200506,-11.604998
H13,1.2767706,-11.322286
H14,1.3759403,-11.390223
H15,1.31915,-11.402603
H16,1.3048344,-11.423366
H17,1.5602131,-10.826932
H18,1.3952265,-11.438237
H19,1.381731,-11.51671
H1,1.377634,-11.541723
H20,1.3957558,-11.507063
H21,1.2474947,-11.461309
H22,1.4495707,-11.750882
H23,1.2825718,-11.2869215
H24,1.7257948,-11.290341
H25,1.5672646,-11.979017
H26,1.383359,-11.875319
H27,1.3448839,-11.938479
H2,1.4911308,-11.403952
H3,1.2623692,-11.421669
H4,1.2475834,-11.25676
H5,1.3199711,-11.590711
H6,1.2566805,-11.548296
H7,1.3211298,-11.800463
H8,1.3170156,-11.805197
H9,1.403225,-11.354279
IT11,1.5401859,-11.639633
IT13,1.9302855,-10.935367
IT14,1.9950972,-10.80636
IT1,2.001628,-10.524594
IT2,2.947917,-8.88294
IT3,3.1234446,-8.291412
IT4,1.028718,-9.836611
IT5,1.8949347,-9.568388
IT6,4.56639,-7.6371975
IT7,2.008525,-11.127304
IT8,1.9193239,-11.240834
MH0002,14.282344,4.7722282
MH0003,14.062556,5.7326775
MH0006,15.539063,5.111124
MH0009,15.404141,5.967331
MH0011,14.60554,5.4938354
MH0012,14.303708,5.6178856
MH0014,14.529828,4.9431763
MH0016,14.6217375,4.9074497
MH0020,14.114884,4.3550415
MH0021,15.077094,4.9184227
MH0024,14.756761,5.1190376
MH0025,15.077884,5.0648193
MH0026,15.278758,4.759899
MH0028,14.4068365,4.6675415
MH0030,15.760636,5.804785
MH0031,15.806964,5.7163334
MH0032,15.690036,5.5467377
MH0033,14.050046,4.769863
MH0034,15.887668,5.298458
MH0035,14.413922,5.679632
MH0036,14.607211,4.9357452
MH0037,14.2710085,5.041357
MH0038,14.604938,5.3495426
MH0039,15.18706,5.388336
MH0040,14.206815,4.8881893
MH0041,14.008014,5.1938286
MH0042,14.399817,5.3058567
MH0043,14.385026,5.5461426
MH0044,14.802012,5.2166862
