,Dim1,Dim2
H10,-0.11966265252143476,-0.014957909102965109
H11,-0.09857658000197342,0.02234569620512758
H12,-0.09957254980925788,0.049163149697616045
H13,-0.11459491663291622,0.055091083186179425
H14,-0.12249211753402878,0.026216473077498335
H15,-0.10074973440660105,0.06496372130929025
H16,-0.1418353627063354,0.029200077257408533
H17,-0.11774937268211227,0.00252889282003072
H18,-0.13567522179078179,0.023905801967790172
H19,-0.0766736760446279,0.07617526112289535
H1,-0.09010612500020651,0.06003418514439051
H20,-0.07640144589789154,0.03519582746620382
H21,-0.12958235374644242,0.056687617137934354
H22,-0.07489013987709962,0.07423415514997876
H23,-0.061456456865550166,0.06749576272229814
H24,-0.1755679247919751,0.02817823620378752
H25,-0.06358274768281992,0.07573034386092116
H26,-0.08422169347864891,0.06951627036267005
H27,0.01732943833948404,0.10925693570664939
H2,-0.10512964858045812,0.06973435269117483
H3,-0.09775226867209262,0.022507761284446898
H4,-0.10095664953480303,0.03256698098662322
H5,-0.053143778490821365,0.05727386746482428
H6,-0.0813439764004822,0.06362645849498724
H7,0.016799250689598092,0.028748555278905092
H8,-0.04010250238043345,0.08604154902719145
H9,-0.11623925671234545,-0.024847797060915475
IT11,-0.1617869591766836,0.045705748952663355
IT13,-0.21342089638649314,0.03926409073967547
IT14,-0.20207209779086152,0.0661481976472725
IT1,-0.19535553846897893,0.05798703081427401
IT2,-0.31192759640398315,0.02087653021663449
IT3,-0.2949837756491914,0.026242392385097933
IT4,-0.2608546358202004,0.039070363867365086
IT5,-0.29078484239197966,0.0007386521677340991
IT6,-0.28882270085882467,-0.030951363944848723
IT7,-0.22895113020880922,0.0238669217652275
IT8,-0.13850292021718544,0.09500388972243323
MH0002,-0.31900344610961767,0.008292718849643473
MH0003,-0.2097691374026416,-0.09183226293557557
MH0006,-0.32270375512700805,-0.003861786645387621
MH0009,-0.29247486203804646,-0.01655724452144971
MH0011,-0.30888341601894,-0.0034023635824866672
MH0012,-0.25950503883941983,-0.03323850067204273
MH0014,-0.33073913526100995,-0.01046076955953914
MH0016,-0.3073008010102396,-0.004012638928395857
MH0020,-0.28341349407571265,0.005494118814514117
MH0021,-0.31174251686344445,0.0018076499226510898
MH0024,-0.24361978166419435,-0.004153200905049937
MH0025,-0.2997809239470202,0.02633182350620987
MH0026,-0.29851043667756694,0.013885123025789368
MH0028,-0.3026739969724359,0.011882150545871837
MH0030,-0.21950996956811175,-0.03715243541072691
MH0031,-0.3030622280461254,-0.017470507771404464
MH0032,-0.31086249112624176,-0.010158857282037546
MH0033,-0.2930537858464307,0.000441662327115528
MH0034,-0.2994581131905579,-0.018333525865894942
MH0035,-0.2957263907060294,-0.04963327786112066
MH0036,-0.3034136166154223,0.027148012271876312
MH0037,-0.2668291987078509,-0.02053492516827141
MH0038,-0.31620489015289116,-0.011402723476367607
MH0039,-0.32675808801716066,-0.0046625750552473305
MH0040,-0.28462346888223783,-0.02476685338463373
MH0041,-0.31050180282380985,-0.015504198060388677
MH0042,-0.32101914196291836,-0.01712876000998822
MH0043,-0.27927872637835993,-0.05335559277583616
MH0044,-0.3131122240893741,-0.0007662789878424516
MH0045,-0.3305406668685828,-0.000916861555692144
MH0046,-0.29838983574208944,-0.01505140979198138
MH0047,-0.28051037912136456,0.005606578321738412
MH0048,-0.33858948488608376,-0.0009933708514094954
MH0049,-0.26037754933774127,0.005356710103464458
MH0050,-0.32294930505343494,0.0026990752052845996
MH0051,-0.2920681301134753,0.015312116009199987
MH0052,-0.3089491513528058,0.005863246438997871
MH0053,-0.28526321953206846,-0.0001132629802005871
MH0054,-0.2731846198582245,0.006230960965769887
MH0055,-0.27798283260646206,-0.05289710235194187
MH0056,-0.29517735599739153,-0.02173042000669336
MH0057,-0.3138284700094154,-0.013416026688263102
MH0058,-0.31370654601561543,-0.003523233858604918
MH0059,-0.3263514095774687,-0.0004314845747305786
MH0060,-0.3055617976785862,0.019040967809655394
MH0061,-0.2017957885680118,-0.035933602291851455
MH0062,-0.24833651190873726,-0.03882844887878696
MH0063,-0.3119102756529301,-0.01256257428516314
MH0064,-0.29580243965386044,-0.031099834398666093
MH0065,-0.29379542702247213,-0.02515156454829038
MH0066,-0.34913215435443895,0.016703922072372413
MH0067,-0.30514783075089447,-0.005402028746410767
MH0068,-0.29262595679567055,0.002013563051373401
MH0069,-0.3235276157697801,0.0021183638296767993
MH0070,-0.2935944733333488,-0.03618877251342091
MH0071,-0.31228382008796046,0.01826652429052611
MH0072,-0.24762870534284798,-0.0664529481165561
MH0073,-0.23084828149525483,-0.09804165955462578
MH0074,-0.2611915825126948,0.014212983006813038
MH0075,-0.3307974798129801,0.0006954523011979846
MH0076,-0.2951548385794118,-0.02367160167541202
MH0077,-0.3190965352760616,-0.029290872058931317
MH0078,-0.26630595509454064,0.012613516013119726
MH0079,-0.2962127486274981,0.01958422009927072
MH0080,-0.3042615966400568,-0.03870850109226507
MH0081,-0.3082198015443973,-0.013477127778099137
MH0082,-0.3203871617311487,-0.007844470805191496
MH0083,-0.29328314835669256,-0.009937371650438275
MH0084,-0.3198156969873599,-0.0058461113957861835
MH0085,-0.31579512589569064,-0.006759708038725103
MH0086,-0.28733809913172875,-0.08216442645615778
MH0087,-0.12876467201257283,0.001451517928998986
MH0088,-0.2861415531972097,-0.04222409518741905
MH0089,-0.3360750258255563,0.0004593619950205653
MH0090,-0.3121003792108033,5.853112708782318e-06
MH0091,-0.31133547161447184,0.01613267135971606
MH0092,-0.3427760269162624,0.016447033831004723
MH0093,-0.24882710421569806,0.05525465382704934
MH0094,-0.3287589176326641,-0.010921510618784094
MH0095,-0.33194587592853964,0.026436420855544488
MH0096,-0.2452328742579779,-0.05505057138725215
MH0097,-0.32232968369462905,0.018918736908903337
MH0098,-0.3327867508633438,-0.026222349342516108
MH0099,-0.31504518946245513,-0.006467590651041789
MH0100,-0.31015222585880486,-0.04654429688051049
MH0101,-0.27332525610585345,-0.024883768840789407
MH0102,-0.31609144628562497,-0.014288832992161927
MH0103,-0.31982893773016985,-0.019936925321245552
MH0104,-0.3246029493898557,-0.005504965862405267
MH0105,-0.3447895314183655,0.016929955561299236
MH0106,-0.3492260772905158,0.011385776336772919
MH0107,-0.3022049031157342,-0.04314691115851766
MH0108,-0.2976397269525594,0.023124201003721298
MH0109,-0.271042250266286,-0.011614690908707353
MH0110,-0.26929279073593,0.0011734050538140816
MH0111,-0.2350191234692191,-0.07244965753556248
MH0113,-0.3116489141063169,-0.018335568795482666
MH0114,-0.29855560357264926,0.008100098314627447
MH0115,-0.2881487167253251,-0.04434169282382117
MH0116,-0.301741627766795,-0.04056209043784583
MH0117,-0.3181971260881183,-0.018083387248769355
MH0118,-0.3108332348372344,-0.016579675336794965
MH0119,-0.33290934882732426,0.011832529770169653
MH0120,-0.32727243179694726,-0.0018669133953019162
MH0121,-0.26662728076307096,0.0061825716244403904
MH0122,-0.2254960457631468,-0.029962132503597864
MH0123,-0.3514658143501787,0.017798603792993337
MH0124,-0.3382454369736416,0.007686706934797971
MH0125,-0.2988633583628595,-0.031483062338527795
MH0126,-0.31552058579389497,-0.018545103778433828
MH0127,-0.29113463702461306,0.016840006889797275
MH0128,-0.2796354810001628,0.020813317705387625
MH0129,-0.3050885880905489,-0.03022148318162588
MH0130,-0.2838251855580622,-0.008458733517284786
MH0131,-0.28247453511003323,-0.02095930767119267
MH0132,-0.2992962862254609,-0.014377327608784178
MH0133,-0.30815218283930046,0.03547650404718887
MH0134,-0.31913117553858317,-0.009577125880483778
MH0135,-0.2871258158622481,-0.04236054178110278
MH0136,-0.33608973626212657,-0.006516923945272373
MH0137,-0.271390719096538,-0.0041061350825795945
MH0138,-0.27001114304531487,-0.0029510898859134425
MH0139,-0.3050280615480592,-0.02254395466984602
MH0140,-0.32504614568777923,-0.007835161248949625
MH0141,-0.2733485000652998,-0.008843026142454453
MH0142,-0.3187919571423973,0.012309250047922469
MH0143,-0.2528955357586978,-0.06227494683471487
MH0144,-0.3005457926972767,-0.037475680875447503
MH0145,-0.3381852677544769,0.009609336382458797
MH0146,-0.3240776095593107,0.025294889414075872
MH0147,-0.3204383680849539,0.012774134969590288
MH0148,-0.322011277888775,0.006426131699908813
MH0149,-0.31167105611619855,0.006960690493512381
MH0150,-0.2927870209898211,0.011775093115509873
MH0151,-0.30203266449620175,-0.034096327678095374
MH0152,-0.32295079954105793,-0.023482091255835787
MH0153,-0.3416934784878894,0.01694181778153552
MH0154,-0.2850721477229196,-0.009572717205000638
MH0155,-0.2917406162834589,-0.04667897271458844
MH0156,-0.2394362547508372,0.0029503761731312886
MH0157,-0.3322368960179247,-0.020579884223597765
MH0158,-0.2991534840459935,-0.013792907969537879
MH0159,-0.28452161137826215,0.001328529499848461
MH0160,-0.28964267077234535,-0.009220626862461659
MH0161,-0.30509536442575613,-0.03683107680396253
MH0162,-0.31058667682029234,-0.021118778841009184
MH0163,-0.32344308715770875,0.026755893560381935
MH0164,-0.31563500302298464,0.02392389150841934
MH0165,-0.3214089608802287,0.01152964489893789
MH0166,-0.22453301712205584,0.028563669967717028
MH0167,-0.29306387604172296,0.01774209934099714
MH0168,-0.3273023722208609,-0.011048965973256202
MH0169,-0.3121082522527759,-0.03164441795914126
MH0170,-0.31916444059520266,-0.015503588914858939
MH0172,-0.33401012578999956,-0.019270256329277945
MH0173,-0.30466336499715596,-0.032502754301117966
MH0174,-0.31270563447703603,0.026642918653226613
MH0175,-0.28206166455384896,-0.03467405097302472
MH0176,-0.31125324832279483,0.0009520159224052675
MH0177,-0.303570631408313,-0.03465389173134766
MH0178,-0.292625079450401,-0.025220802887338
MH0179,-0.20622685849260236,0.05527854358499706
MH0180,-0.32578567691305294,-0.011810242643767295
MH0181,-0.3131118713945985,-0.020907845158254286
MH0182,-0.2842668184338841,0.027845313005340086
MH0183,-0.23497912523188305,-0.08968051637464941
MH0184,-0.2822314893220393,-0.06443729747732461
MH0185,-0.2583670196053455,-0.04824618011534227
MH0186,-0.2305171204708188,0.03166801348282149
