,Dim1,Dim2
H10,-6.084147,-1.5749103
H11,-5.5201163,-3.8057468
H12,-4.0469403,-3.4536054
H13,-5.8307977,-2.2987318
H14,-6.59845,-1.8543022
H15,-4.572816,-3.3724658
H16,-7.215575,-1.5248319
H17,-8.893323,-0.8406943
H18,-7.1347985,-1.519912
H19,-4.897528,-2.5836701
H1,-3.1090624,-2.1804647
H20,-4.6604276,-2.4386237
H21,-4.501093,-4.6288104
H22,-0.7557089,-4.3712683
H23,-6.0894756,-2.6102045
H24,-6.8818054,-0.6246377
H25,-0.5442148,-4.545547
H26,-2.336506,-4.869756
H27,-0.060936376,-4.9553947
H2,-3.8225086,-2.4761949
H3,-7.649843,-2.3309586
H4,-5.3354754,-2.9689784
H5,-3.1458857,-3.9263713
H6,-4.2923737,-3.0553977
H7,-1.1761953,-3.490713
H8,-1.2194545,-4.135247
H9,-6.1956825,-2.0544019
IT11,-2.097579,-4.3847275
IT13,-5.460167,-1.8527665
IT14,-4.130148,-2.8631477
IT1,-6.978623,-3.1845884
IT2,-11.891365,1.4383998
IT3,-14.323692,2.045192
IT4,-7.4375157,-1.2766639
IT5,-13.890751,3.6595469
IT6,-16.215683,2.8076274
IT7,-5.5875626,-2.7673512
IT8,-1.9160957,-4.900091
MH0002,-31.050732,10.736696
MH0003,-30.410538,11.955276
MH0006,-33.13607,12.674401
MH0009,-31.535368,12.045653
MH0011,-32.304665,8.021909
MH0012,-36.219437,14.42991
MH0014,-33.754234,10.481486
MH0016,-29.977615,10.521695
MH0020,-29.34488,10.560572
MH0021,-25.422222,8.311596
MH0024,-33.10812,10.276382
MH0025,-27.471386,8.4076185
MH0026,-26.438654,8.405588
MH0028,-31.169687,11.305434
MH0030,-26.721752,8.523346
MH0031,-27.177479,9.528088
MH0032,-30.751446,13.008831
MH0033,-31.822926,12.522079
MH0034,-27.403896,10.552949
MH0035,-28.814775,12.667229
MH0036,-28.590132,11.572612
MH0037,-28.792234,10.35481
MH0038,-29.982502,11.978613
MH0039,-30.480747,10.52004
MH0040,-27.460629,9.038412
MH0041,-31.680815,11.035642
MH0042,-34.49512,12.671435
MH0043,-35.052994,14.22393
MH0044,-31.401169,11.669397
MH0045,-28.782223,10.499475
MH0046,-28.019062,9.896242
MH0047,-23.159637,7.2040076
MH0048,-28.660917,9.098087
MH0049,-24.87105,6.179342
MH0050,-30.932356,10.713911
MH0051,-29.256018,10.706792
MH0052,-25.837748,8.066404
MH0053,-24.723797,7.491168
MH0054,-29.367065,8.666499
