,Dim1,Dim2
H10,1.5682573,-11.485278
H11,1.324131,-11.624243
H12,1.3603153,-11.639684
H13,1.2187443,-11.310469
H14,1.2562809,-11.348468
H15,1.2158651,-11.356496
H16,1.2378302,-11.472331
H17,1.5024118,-10.685361
H18,1.315485,-11.314592
H19,1.3447027,-11.490941
H1,1.2790995,-11.505938
H20,1.223711,-11.474241
H21,1.1139879,-11.483734
H22,1.3959589,-11.884941
H23,1.2891054,-11.270563
H24,1.622941,-11.288
H25,1.4714012,-11.927202
H26,1.3785448,-11.977358
H27,1.3175516,-11.938023
H2,1.436696,-11.3384075
H3,1.0841179,-11.365562
H4,1.2804041,-11.220804
H5,1.2124977,-11.503039
H6,1.1467838,-11.422205
H7,1.2973871,-11.800047
H8,1.3514118,-11.729762
H9,1.2359505,-11.355884
IT11,1.475832,-11.553408
IT13,1.9843035,-10.840811
IT14,2.0622168,-10.641935
IT1,2.0820189,-10.483869
IT2,2.6145582,-9.094973
IT3,3.1870413,-8.116619
IT4,0.9943018,-9.882421
IT5,2.1370878,-9.432233
IT6,4.5947714,-7.678671
IT7,2.0731459,-10.8472
IT8,1.8393793,-11.2931795
MH0002,14.422084,4.554575
MH0003,14.046695,5.601803
MH0006,15.667716,5.21966
MH0009,15.466037,5.93783
MH0011,14.520389,5.3466454
MH0012,14.474429,5.5452366
MH0014,14.569346,4.681797
MH0016,14.724713,4.5852146
MH0020,14.270413,4.1510563
MH0021,15.198611,4.8337555
MH0024,14.741233,4.9444885
MH0025,15.135816,4.7483025
MH0026,15.45246,4.6870174
MH0028,14.587811,4.4876137
MH0030,15.670138,5.826605
MH0031,15.776546,5.807377
MH0032,15.68917,5.465952
MH0033,14.302003,4.598221
MH0034,15.920672,5.3807335
MH0035,14.497251,5.62199
MH0036,14.478345,5.19483
MH0037,14.056918,5.0148983
MH0038,14.755189,5.4345303
MH0039,15.327018,5.2674255
MH0040,14.388949,4.5728874
MH0041,14.105807,5.159424
MH0042,14.631511,5.2147865
MH0043,14.4480295,5.383621
MH0044,14.773852,5.226679
MH0045,14.7887125,4.7425747
MH0046,15.571967,5.5883064
MH0047,15.1013155,4.659176
MH0048,15.18529,5.043503
MH0049,15.577079,4.8852997
MH0050,15.206769,5.220295
MH0051,15.075046,5.279104
MH0052,15.677363,5.3201694
MH0053,15.928138,5.676239
MH0054,15.238536,4.7036533
MH0055,14.552085,5.64176
MH0056,14.853461,4.8293858
MH0057,14.397529,4.350464
MH0058,15.127574,4.9196587
MH0059,15.257768,5.1709957
MH0060,15.303248,5.1380463
MH0061,14.290126,4.233881
MH0062,14.38432,4.4702644
MH0063,15.865811,5.7894707
MH0064,15.122113,5.0934753
MH0065,15.528895,6.0003777
MH0066,14.57808,4.826809
MH0067,15.11671,4.7955513
MH0068,14.21445,4.300724
MH0069,15.059409,4.91695
MH0070,14.553134,5.6882057
MH0071,14.7128725,4.895981
MH0072,13.880408,5.340473
MH0073,14.657931,5.919262
MH0074,14.314759,4.1237526
MH0075,14.77028,5.0458527
MH0076,14.643695,5.1055813
MH0077,15.596219,5.5834236
MH0078,15.982715,5.472851
MH0079,15.5457945,4.851223
MH0080,14.499255,4.949795
MH0081,14.693677,4.92004
MH0082,15.070756,5.542486
MH0083,14.740287,5.407978
MH0084,15.912757,5.415262
MH0085,15.094157,4.960394
MH0086,14.055305,5.54632
MH0087,14.950007,4.284704
MH0088,14.53564,4.5185146
MH0089,14.50228,4.746723
MH0090,14.718909,5.2747135
MH0091,15.885821,5.24263
MH0092,14.42306,4.225483
MH0093,15.606809,4.8244324
MH0094,15.320249,5.152893
MH0095,15.281207,4.6041756
MH0096,15.770789,5.891262
MH0097,15.30823,4.623804
MH0098,15.5774145,5.524914
MH0099,14.845569,5.294241
MH0100,14.742087,5.908987
MH0101,14.643418,4.5732536
MH0102,14.657376,5.4470367
MH0103,15.78085,5.2588997
MH0104,15.015897,4.7602787
MH0105,15.716962,5.196598
MH0106,15.757035,5.0201664
MH0107,14.547513,5.8105774
MH0108,15.778174,5.045929
MH0109,14.988551,4.330906
MH0110,14.17801,4.232935
MH0111,14.155002,5.614216
MH0113,15.129981,5.1283016
MH0114,14.370856,4.33189
MH0115,14.5908575,5.831665
MH0116,14.361243,5.7833347
MH0117,15.593354,5.6796303
MH0118,15.646268,5.54278
MH0119,15.430829,4.875683
MH0120,15.9494505,5.2445927
MH0121,14.844974,4.178318
MH0122,14.059663,5.528286
MH0123,14.721162,4.627289
MH0124,15.236249,4.92099
MH0125,14.79585,5.496418
MH0126,15.770789,5.6228886
MH0127,14.708371,4.2064095
MH0128,14.971845,4.2321815
MH0129,14.406028,5.6850643
MH0130,16.007854,5.4641304
MH0131,14.515979,4.5347595
MH0132,15.768189,5.6914062
MH0133,14.654735,3.9781342
MH0134,14.346467,4.392559
MH0135,13.957231,5.5760155
MH0136,14.27078,4.311859
MH0137,15.674457,6.003271
MH0138,16.10477,5.6000404
MH0139,14.730821,5.5191555
MH0140,14.5656,4.69849
MH0141,15.435533,5.476593
MH0142,14.243699,4.7317867
MH0143,15.295835,6.0642357
MH0144,15.48809,5.915802
MH0145,14.673856,4.9045315
MH0146,14.738193,4.1736717
MH0147,14.80749,4.8284245
MH0148,15.325181,4.9974365
MH0149,14.879676,4.8472595
MH0150,14.457286,4.415165
MH0151,15.354905,5.8869877
MH0152,15.938153,5.6079674
MH0153,14.48512,4.86726
MH0154,15.481296,5.1331577
MH0155,14.076961,4.5261135
MH0156,14.16821,4.2185764
MH0157,15.138675,5.6328316
MH0158,14.62552,5.3146324
MH0159,14.668323,4.742985
MH0160,14.122851,5.5494957
MH0161,14.157182,5.039074
MH0162,14.270448,4.4373016
MH0163,15.282508,5.0678253
MH0164,16.015892,5.414219
MH0165,15.588992,5.3458652
MH0166,14.515021,4.052841
MH0167,14.672898,4.8098297
MH0168,15.812654,5.5894775
MH0169,15.602464,5.223377
MH0170,14.215501,5.0673428
MH0172,14.557435,5.5721226
MH0173,15.797084,5.713846
MH0174,14.43661,4.7018166
MH0175,15.171821,5.9046116
MH0176,14.952628,4.559805
MH0177,14.264537,5.0770683
MH0178,14.530101,4.231949
MH0179,14.743739,4.272379
MH0180,14.436831,4.3721275
MH0181,15.127097,5.61915
MH0182,14.295167,4.0971107
MH0183,15.350139,5.954813
MH0184,14.288959,5.752878
MH0185,13.896827,5.461252
MH0186,14.407447,4.0834465
MH0187,15.710029,5.117672
MH0188,14.702582,5.4830017
MH0189,15.954608,5.253805
MH0191,15.152942,5.1207695
MH0193,14.419908,4.4685
MH0195,14.6967325,4.5790043
MH0196,14.683528,5.0373573
MH0197,15.076779,5.6437016
MH0198,14.329062,4.8114223
MH0199,14.104835,4.271509
MH0200,15.320386,5.580942
MH0203,14.330836,4.4226284
MH0204,14.233598,5.643713
MH0205,14.200141,4.5754337
MH0206,14.188315,5.1318455
MH0211,14.7271185,5.380499
MH0212,14.269135,4.785969
MH0217,14.59518,5.5741844
MH0220,14.942155,4.9472294
MH0224,15.489417,5.9368095
MH0227,14.607173,4.082041
MH0229,13.834943,5.381077
MH0230,14.257388,4.432831
MH0233,14.712436,4.0893517
MH0236,13.857158,5.5175476
MH0239,14.500888,4.2266846
MH0243,15.865506,5.6975155
MH0244,15.362163,4.6508064
MH0247,14.457103,4.002899
MH0250,14.4047,5.540655
MH0251,14.78345,5.4460297
MH0253,14.592561,4.626362
MH0257,15.903983,5.401989
MH0267,14.120038,4.4299107
MH0272,14.473252,5.0024223
MH0274,14.158662,5.033514
MH0275,13.785579,5.3489647
MH0276,15.754214,5.8781853
MH0277,15.262452,4.47171
MH0286,15.190188,5.900324
MH0287,13.879514,5.595768
MH0288,15.8743925,5.8261604
MH0289,14.556882,4.69874
MH0292,13.951667,5.501663
MH0302,14.875123,4.1568336
MH0305,14.427976,4.373678
MH0307,15.523454,4.8898106
MH0313,15.940003,5.3628483
MH0316,15.0039835,5.2744045
MH0318,15.374574,4.755535
MH0321,15.734691,5.4715366
MH0322,15.760547,5.253504
MH0333,14.304156,4.033041
MH0403,14.491244,4.489933
MH0404,15.437989,4.9138756
MH0405,15.720841,5.894745
MH0406,14.344943,4.3277645
MH0407,15.698264,5.981531
MH0408,14.1851225,5.6847115
MH0409,15.038959,4.764719
MH0410,14.4406595,4.1883335
MH0411,13.964032,5.5479126
MH0412,14.194257,5.454111
MH0413,15.517463,5.7573757
MH0414,15.848222,5.41103
MH0415,14.466697,5.150463
MH0416,14.478721,5.361948
MH0417,14.895234,5.2990837
MH0418,14.443683,4.509426
MH0419,14.259315,4.6567574
MH0420,14.117967,5.295574
MH0421,15.670283,5.930273
MH0422,14.727689,4.5439262
MH0423,14.588288,5.2450924
MH0424,13.793229,5.4294586
MH0425,14.518403,4.3285065
MH0426,14.361438,4.455881
MH0427,16.060867,5.3809357
MH0428,15.5452795,6.1024837
MH0429,15.763185,5.334936
MH0430,15.821322,5.4298363
MH0431,14.097245,5.4293423
MH0432,14.181184,4.3350487
MH0433,14.774426,4.3358097
MH0434,14.497279,5.856268
MH0435,14.205775,4.353754
MH0436,15.712729,5.4347076
MH0437,14.660569,4.6070156
MH0438,14.677558,5.8709965
MH0439,15.020566,5.7614384
MH0440,14.133014,5.397812
MH0441,14.34718,5.0851994
MH0442,14.873231,5.5380554
MH0443,14.832461,4.576847
MH0444,14.3952,3.8962402
MH0445,14.057237,5.483944
MH0446,14.194266,4.276026
MH0447,15.5826235,6.120249
MH0448,14.646119,5.503504
MH0450,13.988902,5.235697
MH0451,14.885041,5.2121925
MH0452,14.095567,4.1738186
MH0453,14.351993,4.622875
MH0454,14.735215,5.284979
MH0455,14.038852,4.327671
MH0456,14.119752,4.562687
MH0457,14.876994,5.7613773
MH0458,15.138425,4.5684757
MH0462,14.0826025,4.2044945
G17953,0.089642525,-21.388145
G17954,0.17672443,-21.24972
G17955,-0.6701536,-21.252554
G17956,-1.7016792,-21.669716
G17957,-0.3443489,-22.293283
G17958,0.22548294,-21.451063
G17959,0.38299274,-22.544823
G17960,0.43876743,-21.417831
G17961,0.5293417,-22.389074
G17962,0.217309,-21.342012
G17963,-1.3064051,-21.64499
G17964,-0.06257248,-21.55871
G17965,-1.8022003,-21.394363
G26317,-0.10887051,-20.338587
G26318,0.5561466,-21.272526
G26319,0.43503284,-21.970667
G26320,0.4201746,-22.441605
G26321,0.80638504,-21.602903
G26322,-1.6556387,-22.35506
G26323,-1.4157057,-22.508257
G26324,-0.08934593,-21.046595
G26325,0.71169376,-21.197151
G26326,0.92740536,-21.302177
G26327,0.8877878,-21.220266
G26328,0.8906622,-21.22774
G26329,0.08720112,-20.666689
G26330,-2.0329266,-21.111456
G26331,0.54622555,-21.146212
G26332,-0.023207664,-20.584883
G26333,0.8942232,-21.34208
G26334,-0.141119,-20.627068
G26335,0.73373127,-20.967295
G26336,0.53929996,-21.011358
G26337,1.3452339,-21.909966
G26338,0.99339676,-21.218803
G26339,0.98554134,-21.3772
G26340,0.57726955,-21.243967
G26341,0.96947956,-21.318316
G26342,0.99556446,-21.316015
G26343,0.60714626,-21.096697
G26344,1.0248461,-21.415949
G26345,1.001401,-21.43599
G26346,0.65212345,-21.07174
G26347,0.3118658,-22.411459
G26348,0.923687,-21.47015
G26349,0.881629,-21.268705
G26350,0.9610462,-21.491812
G26351,-2.3301353,-20.829689
G26352,-0.5411587,-20.885464
G26353,-0.13387394,-20.31319
G26354,0.9624977,-21.323597
G26355,-0.3407755,-20.897875
G26356,1.1345301,-21.663708
G26357,0.8891802,-21.10305
G36563,0.5389061,-23.275505
G36564,0.31856441,-23.966635
G36565,-0.7914438,-24.199587
G36566,0.9931116,-22.432146
G36567,0.98249245,-22.634695
G36568,-1.6814442,-22.088911
G36569,0.756464,-23.307734
G36570,0.10568333,-23.761002
G36571,1.0341043,-23.028137
G36572,1.0613241,-23.321972
G36573,1.5853701,-22.908285
G36574,1.3558617,-23.019371
G36575,1.3870945,-22.974598
G36576,0.30203342,-24.034319
G36577,1.3979235,-22.994978
G36578,1.6037455,-22.813107
G36579,1.5704613,-22.79481
G36580,1.6067533,-22.565594
G36581,-0.894392,-24.169731
G36582,-0.5410414,-23.029343
G36583,0.6181984,-23.514534
G36584,0.17469215,-21.134754
G36585,-1.6430321,-21.147411
G36586,0.77696705,-23.74035
G36587,-0.7820797,-22.843746
G36588,-1.36658,-23.8796
G36589,-1.1908216,-23.104067
G36590,-0.59924984,-22.956957
G36591,-1.1950665,-22.578775
G36592,0.73759556,-23.55944
G36593,1.6656446,-22.60591
G36594,0.096520424,-23.882174
G36595,0.14369583,-24.09881
G36596,1.2958956,-22.937962
G36597,1.660306,-22.58584
G36598,0.9747381,-21.850607
G36599,0.64129734,-22.407398
G36600,1.4234171,-22.90225
G36601,-0.5159483,-23.706135
G36602,-0.8904867,-22.757298
G36603,1.1431904,-22.989664
G36604,-3.9100647e-05,-23.688835
G36605,0.70083046,-23.823387
G36606,-1.5357313,-23.01356
G36607,0.78264713,-23.552408
G36608,1.4449425,-22.867851
G36609,1.0903511,-22.75017
G36610,0.7419853,-23.818657
G36611,0.6283312,-22.644903
G36612,1.2186527,-23.26825
G36613,1.6604643,-22.555294
G36614,1.616229,-22.876871
G36615,0.7324915,-21.580849
G36616,1.6803389,-22.806314
G36617,-0.38232327,-23.318281
G36618,-0.54479504,-22.403625
G36619,0.064027786,-23.697939
G36620,0.587018,-23.969822
G36621,1.1034441,-23.288025
G36622,-0.1256628,-20.844564
G36623,0.72521305,-23.320704
G36624,0.89466953,-21.57941
G36625,0.6016884,-23.888393
G36626,1.1858683,-22.406744
G36627,0.3346548,-22.852526
G36628,0.026618004,-23.1713
G36629,-0.7277584,-23.942408
G36630,0.56881905,-21.994057
G36631,0.19707966,-23.442606
G36632,0.36826706,-23.58326
G36633,1.0985575,-23.332684
G36634,-0.632452,-23.263044
G36635,0.5157585,-23.795559
G36636,0.6268654,-23.80723
G36637,0.7684469,-23.781479
G36638,0.4885683,-23.606686
G36639,0.61504745,-23.26182
G36640,0.16034889,-23.887634
G36641,0.3931799,-24.037838
G36642,0.12827492,-24.071835
G36643,0.47824764,-24.02095
G36644,0.61233616,-23.687698
G36645,-0.13772202,-23.753283
G36646,0.87110996,-22.308216
G36647,0.26889515,-23.764437
G36648,0.8375282,-23.750051
G36649,-0.4187765,-24.016773
G36650,0.48229694,-23.906055
G36651,0.4524021,-24.098112
G36652,-0.70489407,-24.14636
G36653,0.26884365,-24.149382
G36654,1.1968784,-23.33853
G36655,-1.3555107,-23.770844
G36656,-0.8906975,-23.527021
G36657,-1.349865,-23.918114
G36658,-2.3199492,-20.774801
G36659,-1.7157106,-22.923498
G36661,0.1532259,-22.850878
G36662,-1.8335409,-23.179876
G36663,-1.1022882,-23.213535
G36664,-0.7200527,-22.975607
G36665,-0.6788311,-22.866371
G36666,-0.65659904,-22.42641
G36667,-0.9215832,-22.680319
G36668,-0.5103893,-22.627197
G36669,-0.7630873,-23.29685
G36670,-1.323019,-23.789394
G36671,0.4413061,-22.05925
G36672,-0.9200096,-23.328184
G36673,0.5019522,-22.427748
G36674,-1.2581215,-23.915245
G36675,-0.65321445,-22.875574
G36676,-1.4698668,-22.95657
G36677,-1.3417425,-23.830103
G36678,0.13687992,-21.32025
G36679,0.59834766,-21.928757
G36680,-1.2881756,-23.932446
G36681,-0.7252569,-23.627516
G36682,-0.6618414,-22.642027
G36683,-0.8935385,-22.894726
G36684,0.55416584,-21.558659
G36685,-1.1030207,-23.761425
G36686,-1.3558378,-22.795815
G36687,-0.68236446,-23.144794
G36688,-1.3183346,-23.779604
G36689,-1.2761745,-23.668535
G36690,-0.69283676,-23.393526
G36691,-1.8043556,-23.04774
G36692,-0.6314039,-21.718918
G36693,-1.357171,-23.73033
G36694,-0.9778471,-24.085659
G36695,-1.9114056,-22.86871
G36696,-1.6681042,-23.176767
G36698,-1.9210691,-22.889133
G36699,-1.6684475,-22.934307
G36700,-1.6547327,-22.352678
G36701,-1.7405834,-21.345749
G36702,-1.8383837,-21.912245
G36703,-1.1411066,-23.820671
G36704,-0.89950657,-22.025795
G36705,-1.4153833,-22.118584
G36706,-0.11321163,-23.166475
G36707,-1.126997,-21.992893
G36708,0.20032215,-22.563637
G36709,-1.3243856,-23.884098
G36710,-1.2090569,-24.029722
G36711,-0.45283127,-22.594286
G36712,-1.5810204,-22.885979
G36713,-1.0914593,-21.9316
G36714,-1.4355345,-22.59902
G36715,-1.0467787,-23.441036
G36716,-1.3652687,-23.916218
G36717,-0.78133965,-21.86142
G36718,-1.4155817,-23.966263
G36719,-1.4364758,-22.260595
G36720,-0.044713974,-21.458384
G36721,-1.689621,-21.367962
G36722,-1.4321146,-23.941734
G36723,0.3697977,-21.861649
G36724,-1.5094585,-21.824816
G36725,-1.4627438,-21.983814
G36726,-1.5442514,-22.081072
G36728,-1.7878399,-21.312124
G36729,-0.40057182,-22.697369
G36730,0.009378433,-23.046534
G36731,-1.1782179,-22.123146
G36732,-1.4707088,-21.863068
G36733,-1.2841902,-22.384518
G36734,0.19301224,-21.373596
G36735,-1.4852428,-21.395378
G36736,0.30741024,-21.506561
G36737,-0.32100582,-22.944767
G36738,-0.50160027,-21.412422
G36739,-1.7237587,-22.4525
G36740,-1.0080242,-23.825172
G36742,-1.0812254,-23.182823
G36743,0.4495201,-22.007814
G36744,-1.352128,-23.805407
G36745,0.8306093,-22.46396
G36746,0.20651436,-23.765175
G46934,-1.6258602,-22.360502
G46938,-1.3398619,-22.496664
G46939,-2.3214025,-20.811857
G46940,-1.6916304,-21.455814
G46942,-1.722373,-21.239927
G46943,-1.4813261,-21.41219
G46944,-2.2359457,-20.922184
G46946,-2.1280088,-21.576199
G46947,-2.157258,-22.252518
G46948,-2.3559542,-20.698374
G46949,-1.8282709,-21.37051
G46953,-2.0817938,-21.232473
G46954,-2.1205473,-22.287762
G46955,-2.3292627,-21.070398
G46957,-2.2807589,-21.019083
G46958,-2.1470566,-21.15244
G46959,-2.3411474,-20.781277
G46960,-2.3878145,-20.746101
G46962,-2.1658735,-22.305035
G46963,-2.3755064,-20.774714
G46964,-2.2424135,-20.94095
G46966,-1.8788357,-21.219734
G46967,-1.8863611,-21.451841
G46968,-2.2412958,-21.074816
G46969,-2.0207853,-21.508776
G46970,-1.7289438,-21.383293
G46971,-1.873743,-21.32028
G46972,-2.3784113,-20.764042
G46975,-1.6896544,-23.215057
G46976,-1.745534,-22.794565
G46977,-1.58708,-22.271847
G46978,-1.0472069,-22.898806
G46979,-1.5807886,-22.312487
G46980,-1.9737425,-22.633194
G46981,-1.8781319,-21.320807
G46982,-1.6128254,-22.70737
G46983,-1.8190012,-22.383966
G46984,-1.628808,-22.588692
G47921,-1.833602,-21.681381
G51191,1.599206,-22.539343
G51192,-2.1562681,-22.681454
G51193,-2.0230951,-22.939962
G51194,-1.0874491,-21.656063
G51195,-2.1730566,-22.708096
G51196,-1.9656563,-23.058495
G51197,0.059656143,-23.638617
G51198,-1.8865423,-22.970814
G51199,-0.18032932,-22.268951
G51200,0.0039567947,-23.541931
G51201,0.10516262,-23.514397
G51202,-0.23517132,-23.33282
G51203,1.1833687,-21.9972
G51204,1.0182333,-21.85466
G51205,1.6359358,-22.511469
G51206,1.6485319,-22.553751
G51207,0.82350826,-22.051098
G51208,0.9489784,-22.351265
G51209,1.5620718,-22.576475
