,Dim1,Dim2
0.143653753,-11.664494,1.3894743
0.14702231,-11.725013,1.3294321
0.184291216,-11.3775215,1.3890299
0.298213639,-11.551403,1.4888433
0.096961162,-11.745019,1.312451
0.320504299,-11.44524,1.5883559
0.158139412,-11.692877,1.3738052
0.392745748,-11.519057,1.6304067
0.157887486,-9.543912,-1.0120041
0.131030036,-10.360999,-1.1966493
0.158711195,-9.555778,-0.98353183
0.145634155,-9.291954,-0.8397248
0.223806414,-10.781987,0.57230747
0.168680259,-9.333141,-0.85563046
0.233277015,-9.063175,-0.48635656
0.200369692,-9.069093,-0.30217516
0.316768273,-10.2549715,1.5034419
0.194066268,-9.250487,-0.7501347
0.358274708,-10.228476,1.5207037
0.212173856,-9.159903,-0.40123057
0.185236477,-9.324814,-0.839818
0.399751064,-10.32083,1.448979
0.162430293,-9.443689,-0.4528064
0.166772091,-9.620248,-0.8635631
0.133241192,-9.580776,-0.5360719
0.128805821,-9.628515,-0.9439993
0.164404099,-9.759199,-0.81274635
0.156881953,-9.776541,-0.92697096
0.177804673,-12.253448,0.5057572
0.184278554,-11.84716,1.2614492
0.144011251,-10.395653,-1.2796389
0.097187308,-9.823536,-0.86217666
0.201215025,-11.021217,1.2803975
0.282034562,-11.48517,1.5336477
0.116335271,-12.114022,0.81118906
0.261063168,-11.467283,1.6451944
0.187286673,-11.062642,0.06776023
0.211560892,-10.203693,1.5904907
0.236678421,-8.715175,0.32170784
0.397721938,-10.300304,0.75435936
0.212903206,-9.99815,2.1827135
0.33614184,-9.116015,0.3672334
0.19280862,-8.874655,0.38678312
0.241583785,-10.055119,2.2581544
0.16408537,-9.012728,0.28554523
0.229413461,-9.027448,0.41977227
0.195689417,-9.148092,0.52785826
0.212969093,-8.944062,0.3462683
0.212621006,-11.011477,0.15345442
0.195768403,-9.943998,2.013722
0.226868376,-8.502875,0.2482152
0.199164589,-10.858528,-0.4688965
0.186063878,-10.223423,2.1643662
0.23828966,-9.954187,-0.7496306
0.26669631,-10.8767185,0.66674984
0.20639537,-10.104048,2.080009
0.186635884,-8.193783,0.07827234
0.264309776,-10.811272,0.6235591
0.193379751,-8.295882,0.16974664
0.194610012,-8.239195,0.2184242
0.199299308,-8.176315,0.1036731
0.351741748,-10.726426,0.6887094
0.226552244,-8.279009,0.15484118
0.180184249,-8.462918,0.22607827
0.167803979,-8.570463,0.28537798
0.271912999,-11.113816,0.16104555
0.182379021,-10.118156,2.2069125
0.173033403,-9.928101,-0.7439687
0.386920248,-10.7685375,1.2862037
0.215584057,-10.079677,2.231145
0.302870431,-10.842183,1.3440598
0.197235849,-10.1738825,1.4520699
0.198128102,-10.165744,1.5702602
0.194938957,-9.082846,0.23895764
0.509628974,-11.141697,0.12562716
0.192594743,-10.110201,1.6189827
0.159001032,-9.709013,-0.790817
0.20822705,-9.172531,-0.71875924
0.142549187,-9.379295,-0.90943366
0.099284411,-10.550092,-1.2632644
0.221418993,-10.023134,2.0172982
0.111582155,-10.634611,-1.2253814
0.151391058,-10.234615,2.0146499
0.269404504,-11.772952,0.15559113
0.195134744,-10.158175,2.2660408
0.085129617,-10.945434,-1.0736359
0.369122696,-10.773738,0.7131494
0.114557532,-10.965973,-1.0563482
0.188892967,-10.093367,2.127615
0.11550157,-11.10615,-0.95833886
0.125893062,-12.157223,0.0753628
0.140476272,-12.191147,0.1148144
0.146857671,-12.280391,0.38428807
0.1782417,-12.309104,0.37541544
0.153963023,-12.187633,0.6664306
0.239530442,-10.099299,1.9805595
0.162186184,-12.216416,0.63778627
0.186111035,-10.177626,2.072132
0.16347394,-9.634819,-1.1017015
0.149539803,-9.506081,-1.1009684
0.168466302,-9.467527,-0.9826882
0.149125122,-9.469458,-1.0250616
0.115850233,-10.7077055,-1.1500565
0.182924284,-10.153692,2.1140652
0.144771557,-10.711842,-1.2277468
0.102271632,-10.736174,-1.2580957
0.186048495,-10.17692,2.1672878
0.104006343,-10.757723,-1.2528093
0.181848989,-12.078315,0.24025142
0.18494763,-12.103649,0.179788
0.486272158,-10.8145485,1.0457226
0.11923056,-12.215075,0.21153033
0.165901737,-10.298095,2.232192
0.116266715,-12.111377,0.23125339
0.130902492,-10.155806,2.0902328
0.186098549,-10.28266,0.52775085
0.17062231,-10.928358,-0.34673393
0.164402008,-9.653574,-1.0404027
0.144632029,-9.73373,-1.0320117
0.126390516,-10.945601,-0.6350426
0.166343866,-10.269781,2.2076116
0.172504776,-9.926042,-0.8667336
0.152995651,-11.134333,-0.86311823
0.190885426,-10.276129,2.1222835
0.205596004,-9.802421,-0.52253485
0.845473817,-10.886357,1.2088431
0.840591907,-10.957245,1.3944496
0.879842647,-10.448133,1.2083398
0.931345898,-10.469574,1.0315462
0.31322054,-10.749473,1.558277
0.931546878,-10.546024,1.3858601
0.306450712,-10.707042,1.3127636
0.36630683,-10.693018,1.2327999
0.280026637,-11.146812,1.3980523
0.304664175,-10.22489,-0.5341151
0.168685964,-10.971806,-0.5052808
0.186912395,-9.99618,2.0931554
0.279590026,-10.064043,-0.66498834
0.295473586,-10.024385,-0.6878617
