,Dim1,Dim2
0.143653753,29.870905,30.102938
0.14702231,29.944483,29.89956
0.184291216,29.392515,30.163624
0.298213639,29.901993,29.95841
0.096961162,29.321404,29.963583
0.320504299,29.702152,29.601168
0.158139412,29.60683,30.18165
0.392745748,29.682596,29.970083
0.157887486,26.477474,28.353235
0.131030036,27.548717,28.79788
0.158711195,26.534927,28.243582
0.145634155,26.83783,27.723957
0.223806414,29.332436,28.88969
0.168680259,27.09267,27.749727
0.233277015,27.30672,27.355335
0.200369692,27.962374,27.466448
0.316768273,29.957426,28.596857
0.194066268,27.540022,27.61731
0.358274708,29.708672,28.944845
0.212173856,27.855473,27.673626
0.185236477,27.042234,27.687431
0.399751064,29.922102,28.890316
0.162430293,27.745144,27.900368
0.166772091,26.89874,28.80465
0.133241192,27.63675,28.302757
0.128805821,26.603237,28.833138
0.164404099,26.662514,29.241068
0.156881953,26.941956,29.432013
0.177804673,28.653997,30.388132
0.184278554,29.50093,30.48797
0.144011251,27.242186,28.717434
0.097187308,26.741661,29.099966
0.201215025,30.194239,29.321865
0.282034562,29.972017,29.735928
0.116335271,29.066631,30.09907
0.261063168,29.493109,29.831589
0.187286673,28.804708,29.143082
0.211560892,29.832611,28.669956
0.236678421,28.889618,27.6862
0.397721938,28.834518,28.403414
0.212903206,30.546806,27.848122
0.33614184,28.48006,28.026302
0.19280862,28.540073,27.710936
0.241583785,30.388083,27.797537
0.16408537,28.288404,27.739145
0.229413461,28.75024,28.198864
0.195689417,29.594543,27.735472
0.212969093,28.689404,27.826824
0.212621006,29.096682,29.052158
0.195768403,30.177137,28.225183
0.226868376,28.821583,27.536663
0.199164589,28.339636,29.054699
0.186063878,31.014149,27.538958
0.23828966,27.314058,29.591633
0.26669631,29.285576,28.523512
0.20639537,30.431509,27.401142
0.186635884,29.054323,27.808857
0.264309776,29.4136,28.832653
0.193379751,29.230759,27.99939
0.194610012,29.14047,28.33869
0.199299308,29.06802,27.797716
0.351741748,29.568535,28.515604
0.226552244,29.012617,27.886818
0.180184249,29.064411,27.498913
0.167803979,28.87251,27.396143
0.271912999,29.029531,29.204475
0.182379021,30.530268,27.518568
0.173033403,27.113586,29.694979
0.386920248,30.372044,29.283194
0.215584057,30.983234,27.776636
0.302870431,30.258339,29.3617
0.197235849,29.894629,28.815783
0.198128102,30.282833,28.55122
0.194938957,28.378092,27.43507
0.509628974,29.136566,28.983387
0.192594743,30.035883,28.337595
0.159001032,26.75568,29.424606
0.20822705,27.151514,27.396729
0.142549187,26.614416,27.69505
0.099284411,27.39244,28.44143
0.221418993,30.540184,28.132753
0.111582155,27.527803,28.507427
0.151391058,30.94994,27.82364
0.269404504,28.775253,28.757404
0.195134744,30.23074,27.64127
0.085129617,27.98457,28.594368
0.369122696,29.727978,28.27285
0.114557532,27.887093,28.545286
0.188892967,30.648449,27.17505
0.11550157,28.05395,28.920067
0.125893062,28.2338,29.70537
0.140476272,28.339489,29.9318
0.146857671,28.514845,30.185814
0.1782417,28.379242,30.19439
0.153963023,28.814354,30.26214
0.239530442,30.311884,27.993904
0.162186184,28.778519,30.496828
0.186111035,30.11973,27.14623
0.16347394,26.300138,28.478289
0.149539803,26.838388,28.097925
0.168466302,26.61659,28.07854
0.149125122,26.803467,28.213108
0.115850233,27.328432,28.631992
0.182924284,30.854,27.305775
0.144771557,26.953655,28.508438
0.102271632,27.270664,28.240427
0.186048495,30.909998,27.626553
0.104006343,27.63519,28.568407
0.181848989,28.563766,29.966139
0.18494763,28.315998,30.349634
0.486272158,29.638975,29.291039
0.11923056,28.59945,29.797756
0.165901737,30.548052,27.618286
0.116266715,28.465488,30.463724
0.130902492,30.922506,27.261078
0.186098549,28.597095,29.378872
0.17062231,28.506298,28.918268
0.164402008,26.339231,28.727331
0.144632029,26.412088,28.846403
0.126390516,28.086576,28.823748
0.166343866,31.1291,27.654835
0.172504776,27.124527,29.28551
0.152995651,28.188147,29.34144
0.190885426,31.096878,27.597366
0.205596004,27.73825,29.50306
0.845473817,29.457596,28.069227
0.840591907,29.011541,29.534687
0.879842647,28.366726,28.414099
0.931345898,28.437984,28.68461
0.31322054,30.444145,28.922392
0.931546878,28.879326,28.593191
0.306450712,30.744532,28.823372
0.36630683,30.63292,29.12059
0.280026637,30.30196,29.844585
0.304664175,29.4015,29.53468
0.168685964,28.821012,28.990631
0.186912395,30.887161,28.188803
0.279590026,27.594002,29.74694
0.295473586,27.239449,29.900536
