,Dim1,Dim2
1,-3.0551977,-1.7913458
2,-1.908705,-4.3263535
3,0.6628259,-9.220305
4,-0.56740254,-5.3476095
5,-0.5617502,0.0015430249
6,-1.8204808,-1.2392839
7,-2.1240733,-3.869515
8,1.2926465,-9.452759
9,1.5726174,-7.828709
10,-4.042614,-4.8094234
11,-5.8709936,-4.789422
12,-3.213063,-1.1398169
13,-3.6352074,-1.0465091
14,-0.52707046,-1.8025125
15,-0.93210113,-2.7856398
16,-0.5346843,-6.4049506
17,1.7035801,-5.5034556
18,-2.6682763,-0.7264219
19,-0.59581554,-3.1396747
20,-0.33765513,-5.10188
21,-3.2399309,-2.3308566
22,-4.596025,2.0362844
23,1.4454328,4.073288
24,1.8974848,2.2944334
25,1.5216129,6.2885995
26,-0.8420732,4.579433
27,-4.3877654,5.8451753
28,-7.211503,0.7783765
29,-6.4068713,-0.16739546
30,-7.4048734,1.7671494
31,-5.381662,0.1170324
32,-7.3839574,4.0920005
33,-5.624052,0.35117823
34,-4.5445547,0.9511594
35,-3.5934637,-2.1704845
36,-4.4487114,-1.1115618
37,-4.9598894,3.1375604
38,-4.9538984,4.2909627
39,1.0536011,-7.830087
40,0.3277124,5.163305
41,-1.1138271,3.176053
42,-1.7665068,0.5119094
43,-2.9078615,5.832279
44,4.9359164,4.3149896
45,0.19051465,5.5685816
46,-1.2296726,0.78371483
47,0.58373755,4.318538
48,4.2833233,4.721843
49,-2.7975175,2.4643269
50,-0.7770972,-8.831937
51,-6.398157,3.1613128
52,-10.114845,4.93247
53,-7.5568233,2.9925132
54,2.372129,4.116488
55,-3.2720513,4.840154
56,-5.321299,3.2945793
57,-6.441542,-1.342749
58,3.479944,-0.4964668
59,-6.4108324,2.5113733
60,-6.833718,2.4311075
61,-7.803014,3.81891
62,-7.2447987,4.2075205
63,-3.057767,3.5032575
64,-3.4573832,2.0134745
65,9.00218,7.1781406
66,0.54898286,5.0836964
67,9.551599,7.469152
68,10.904468,5.9021773
69,6.299097,6.1188674
70,3.8020945,8.468414
71,0.0040767323,5.000789
72,7.222341,5.957401
73,6.6393824,3.341191
74,7.7736506,3.859054
75,6.589498,6.602008
76,7.523774,5.7722707
77,-6.3965597,5.773717
78,-4.907582,1.9388245
79,-5.5723524,1.881278
80,-2.1514962,-5.566433
81,-5.3231397,5.200847
82,1.6654752,5.456045
83,6.017332,8.891895
84,-2.2288806,2.1782033
85,-1.8734597,5.4338136
86,6.128436,5.5434465
87,6.9214716,0.91648453
88,8.707604,2.2243817
89,8.941146,1.1306542
90,-3.4503143,5.8843102
91,8.558975,-0.2528904
92,-0.2153501,1.9374886
