,Dim1,Dim2
1,1.570975,18.953495
2,1.5455894,18.928146
3,1.8402853,20.097094
4,1.8431308,19.913166
5,1.5334495,18.886414
6,1.5119181,18.801497
7,1.5584164,18.90675
8,1.8805307,20.109947
9,1.9587871,20.025312
10,0.16140763,16.93138
11,0.22438501,17.023285
12,0.9883888,18.144129
13,0.8401,18.113132
14,0.9727849,18.213333
15,1.6507947,18.962746
16,1.6557621,19.719316
17,1.9492673,19.974907
18,1.4777342,18.73036
19,1.5920683,18.916538
20,1.8836998,19.901417
21,1.534256,18.902348
22,1.1748711,18.364292
23,2.8858707,16.71019
24,2.9654458,16.74854
25,2.9460602,16.749052
26,1.2409471,16.58518
27,1.2201048,16.611498
28,1.1969713,16.546005
29,0.5167271,17.916803
30,0.4337802,17.904478
31,0.39967614,17.931238
32,1.6403018,17.59319
33,1.5230776,17.713757
34,1.5772849,17.689823
35,0.7222755,19.322119
36,0.863343,19.442783
37,1.7436848,17.658096
38,1.6369274,17.65366
39,1.8101994,20.148327
40,2.5745232,17.966778
41,2.2271094,17.785154
42,2.1927881,17.779398
43,2.2530193,17.845577
44,3.277972,17.32069
45,2.7701547,17.971468
46,2.618191,18.012081
47,2.448386,17.728642
48,3.314218,17.407185
49,1.7834581,17.640766
50,1.8718694,20.09909
51,0.7971952,17.71343
52,0.71204174,17.604448
53,0.805756,17.64413
54,3.1005287,17.474035
55,1.1292334,17.608374
56,1.3967223,17.979832
57,0.80699563,17.712023
58,3.1886969,17.454845
59,1.2743948,17.73628
60,1.3206897,17.793026
61,1.3016372,17.800629
62,1.2760278,17.714859
63,1.4679115,17.95549
64,1.2855111,18.255533
65,4.611346,17.270702
66,4.210652,17.013426
67,4.6517467,17.310217
68,4.7749934,17.616982
69,4.625612,17.216976
70,4.106475,17.33005
71,1.818059,16.970497
72,4.5358634,17.711184
73,4.590253,17.764908
74,4.5337973,17.794596
75,4.331544,17.208141
76,4.514237,17.192621
77,0.6426135,16.815998
78,0.7268887,16.835985
79,0.7573055,16.882236
80,1.696376,19.823114
81,0.55378675,16.844273
82,3.6666203,17.464203
83,4.5299554,17.213844
