,Dim1,Dim2
1,3.456012,10.99626
2,3.5486386,11.239528
3,4.623219,11.584849
4,3.2678175,11.262983
5,3.4114616,10.785998
6,3.0248811,10.347364
7,3.3118703,11.165657
8,4.998927,11.342256
9,5.0435486,10.901463
10,0.94516486,11.129696
11,1.1829515,11.449103
12,3.040813,11.127079
13,3.0788133,11.165844
14,3.3283596,10.732317
15,3.472722,10.846932
16,4.8525624,11.445838
17,4.5632644,11.149214
18,3.0250068,10.565234
19,3.576345,10.501216
20,3.3339095,10.657139
21,3.1844702,10.769431
22,2.8608963,10.769535
23,3.5140352,10.400537
24,3.4969137,10.55573
25,3.2480633,10.492696
26,2.9475098,10.901195
27,2.8015487,11.072441
28,1.95342,11.953634
29,1.7639351,11.246412
30,1.8794634,11.439259
31,1.9531604,11.178288
32,2.4108572,10.652588
33,2.3587012,10.734347
34,2.5945554,10.692168
35,4.098369,12.089365
36,3.4478812,12.820327
37,2.5232,10.729173
38,2.6228704,10.85108
39,4.445767,11.744284
40,3.5548975,9.681533
41,3.6224585,9.617341
42,3.1346004,9.224848
43,2.8271766,9.479084
44,4.1365457,9.349912
45,3.643658,9.325173
46,3.5902393,10.943581
47,3.4544482,9.283656
48,4.2486005,9.294729
49,2.5692718,10.355457
50,4.7797933,11.461401
51,2.1104999,10.547426
52,1.499804,11.062763
53,1.6565956,10.880007
54,4.160373,9.930282
55,3.0271752,10.013145
56,2.9995484,11.640432
57,3.3810625,12.033264
58,4.4778347,9.720152
59,1.7523993,10.035227
60,1.710796,10.307588
61,1.6892174,10.3557005
62,1.9859324,10.494909
63,2.9938347,11.73735
64,3.0791454,10.635218
65,5.6898484,7.799483
66,4.34667,8.254996
67,5.5480337,7.710721
68,6.0306582,7.9805427
69,5.810121,7.967526
70,5.2040434,7.888517
71,1.4592545,9.098508
72,5.6196475,8.704275
73,5.845323,9.017585
74,5.7432995,8.853629
75,5.139797,7.5927143
76,5.5969596,7.672833
77,0.8019292,9.887587
78,1.2912605,10.076497
79,1.5425504,10.098454
80,4.6827974,11.832391
81,0.8867363,9.821986
82,4.192918,9.0125265
83,5.2736583,7.663076
84,1.4820476,9.489467
85,1.4966027,9.263476
86,5.3787317,8.464457
87,5.7768936,8.487713
88,5.6939874,8.414057
89,5.627413,8.500691
90,1.7826204,9.485971
91,5.6637053,9.871351
92,3.758827,10.27253
93,4.4725204,8.78381
94,4.647491,9.099018
95,0.95112884,9.8108635
96,0.7377008,10.39808
97,5.6073713,8.594314
98,1.0955715,9.601316
99,0.426434,9.673769
100,0.46662164,9.803363
101,5.964357,9.051915
102,6.5155516,9.502644
103,6.2791677,10.484702
104,6.0421844,10.563075
105,5.2503743,9.069384
106,5.0776305,10.835614
107,5.0735345,9.617818
108,5.604589,9.186763
109,1.6023269,9.946703
110,3.0079715,9.383065
111,0.62714255,9.791878
112,6.288687,9.539837
113,4.6776757,11.613087
114,6.2892094,10.231402
115,5.2305636,9.364148
116,5.5380993,9.233534
117,6.1152267,9.3529
118,6.4192324,9.498061
119,5.0603366,9.02551
120,6.228713,9.354246
121,6.7977433,10.154802
122,6.7522902,9.694848
123,6.309727,10.543537
124,6.158887,9.837381
125,6.562363,9.578224
126,2.2486145,11.214968
127,3.7480454,11.53597
128,2.5049098,11.439575
129,3.2798598,10.347853
130,1.6685734,11.164341
131,1.7163879,10.927502
132,3.978904,12.3783865
133,4.495394,10.578662
134,1.1284827,11.366865
135,4.3372154,10.375872
136,1.8410691,11.392074
137,2.5223222,11.407071
138,1.7610676,11.43074
139,2.575739,11.34346
140,1.6964507,11.379969
141,1.9833945,11.500487
142,2.1716938,11.516916
143,5.570081,8.389072
144,5.727721,8.50899
145,5.191639,8.410293
146,5.857391,8.13702
147,5.5995536,8.357022
148,5.9458923,8.301853
149,4.7698054,8.345879
150,4.6631374,8.288368
151,4.747362,8.351558
152,3.7788484,11.098463
153,4.682497,8.462345
154,4.398934,8.760992
155,4.5183916,8.2011385
156,1.2891897,9.20653
157,2.1094925,9.590127
158,1.4459776,9.298939
159,4.4250865,8.155063
160,4.803158,8.170216
161,3.5059016,12.636299
162,-0.031168533,9.72764
163,0.04882318,9.793925
164,0.019974554,9.597882
165,3.2713726,12.800371
166,0.57011944,9.994375
167,0.5212973,10.084095
168,3.2095673,12.687122
169,6.460421,9.266187
170,3.6596124,9.454184
171,4.6865864,10.883966
172,4.066204,9.702055
173,2.0505993,10.731726
174,3.7436166,9.351269
175,3.7654662,9.003438
176,3.1973555,11.134232
177,4.442258,9.970991
178,3.3179963,9.988517
179,4.47056,9.159388
180,3.071704,9.799222
181,3.6311927,9.385256
182,2.963207,9.76445
183,4.429978,8.805497
184,3.0995681,9.193661
185,3.336481,9.035708
186,3.5977178,9.60188
187,2.5671692,9.893066
188,2.7467008,9.4603815
189,3.531707,9.5012045
190,2.1078734,11.95311
191,2.465935,11.077331
192,2.5356402,10.957942
193,2.3385603,10.237975
194,2.4720793,10.145301
195,3.7901797,8.900512
196,3.6547701,8.994203
197,2.4248943,10.684032
198,4.4001517,10.560721
199,4.0664563,10.572674
200,2.783424,10.392001
201,1.9550196,10.4859915
202,2.4757805,10.454226
203,2.4284906,10.010122
204,6.2012744,9.07885
205,6.0952106,9.534711
206,2.123471,10.937406
207,1.5207431,10.668645
208,1.3757355,10.841242
209,1.336003,10.478576
210,2.074724,10.325335
211,2.0354083,10.527061
212,2.361854,10.323628
213,1.639532,10.451874
214,1.7346883,10.324116
215,1.822268,10.854243
216,5.6272807,7.6558013
217,5.9765863,8.138173
218,5.8898787,7.8437634
219,5.4996257,7.6486907
220,5.163711,7.829193
221,6.141353,8.1066885
222,5.7360535,7.7031913
223,5.6555924,7.6890917
224,5.235439,7.5819407
225,5.9443603,8.359217
226,5.969493,8.225673
227,4.8146296,7.761683
228,5.2311277,7.9018755
229,4.8779263,7.6386547
230,1.8330106,10.439756
