Method,NMI,ARI,Silhouette_cosine,Silhouette_euclid,Homogeneity,Completeness,V_measure,Calinski_Harabasz,Davies_Bouldin
KMeans (CLR),0.2778346050559072,0.05906516676967887,0.06873452663421631,0.01609657146036625,0.3783492027909702,0.21951649135970094,0.2778346050559071,107.59998209102596,3.584058641058455
KMeans (AitchisonPCA),0.28473189048022374,0.05924690596851234,0.06475376337766647,0.02130984142422676,0.3896121442099183,0.2243411685137593,0.28473189048022374,107.94993138149933,3.5273596687522955
KMeans (Jaccard PCoA),0.24083429948748972,0.03951600285607405,-0.006233357358723879,-0.05198831483721733,0.312539337649042,0.19589146174541278,0.2408342994874897,69.91818132145343,5.719477601412396
KMeans (MDS),0.2005042079725763,0.036695198463426656,-0.020876126363873482,-0.02549837902188301,0.27350783473806395,0.15826163885169992,0.20050420797257631,74.03410902723206,9.21808447811833
KMeans (PCA),0.19275643484884106,0.025031330928795045,-0.014936612918972969,-0.001278699841350317,0.2581155729278218,0.153809357960866,0.1927564348488411,81.22330194610961,6.343553242765123
KMeans (PHATE),0.2579140472554429,0.017852778934937197,0.0168339554220438,-0.019748706370592117,0.33162067290618974,0.21101374175219637,0.2579140472554429,88.27333160545335,4.665449819289642
KMeans (PaCMAP),0.2904817056113993,0.057192220290174095,0.07328572869300842,-0.03032580390572548,0.3958804485639117,0.2294051495917383,0.2904817056113993,101.03389370537603,3.7685252318724682
KMeans (SONG),0.2801374269964555,0.062235085498374476,0.06068314239382744,-0.03591117262840271,0.38486266550624076,0.22021466620708546,0.28013742699645544,94.0108266099642,5.182897445220996
KMeans (UMAP),0.2977244002172153,0.06221099780905767,0.07799266278743744,-0.03270712494850159,0.40741112172459065,0.23457114247305827,0.2977244002172153,97.84112011995201,4.005574856774198
KMeans (t-SNE),0.26607386246088505,0.05577104663590241,0.0538526214659214,-0.012190948240458965,0.3668409507374585,0.2087363358366255,0.26607386246088505,94.44004055188978,4.384121945194886
KNN+DMoN,0.1818,0.0275,0.5509,,,,,,
KNN+MinCutPool,,,,,,,,,
Bipartite+DMoN,,,,,,,,,
Bipartite+MinCutPool,,,,,,,,,
