,Dim1,Dim2
Candela_Africa,-12.772728,0.2637329
Candela_Africa,-12.891402,0.50014114
Candela_Africa,-12.7687645,0.455719
Candela_Africa,-12.746211,0.05066681
Candela_Africa,-12.769341,-0.18185425
Candela_Africa,-12.744125,0.1894989
Candela_Africa,-12.779123,0.23867035
Candela_Africa,-12.643393,-0.22309875
Candela_Africa,-12.663826,0.060440063
Candela_Africa,-12.694735,0.4170227
Candela_Africa,-12.839581,0.30374146
Candela_Africa,-12.778873,-0.07318497
Candela_Africa,-12.731993,-0.025333405
Candela_Africa,-13.066374,0.4886818
Candela_Africa,-12.506749,0.37927628
Candela_Africa,-12.580896,0.39286423
Candela_Africa,-13.220947,0.8258362
Candela_Africa,-12.929753,0.20156479
Candela_Africa,-13.133438,0.64992905
Candela_Africa,-12.849542,0.3600235
Candela_Africa,-12.65198,0.0021629333
Candela_Africa,-12.796914,0.06600952
Candela_Africa,-12.914846,0.03312683
Candela_Africa,-12.765741,0.23395538
Candela_Africa,-13.067753,0.7944031
Candela_Africa,-13.089512,0.7030525
Candela_Africa,-12.679655,0.13735962
Candela_Africa,-13.168028,0.8176651
Candela_Africa,-12.075068,1.4646835
Candela_Africa,-12.5241165,1.4701462
Candela_Africa,-12.353905,1.8687439
Candela_Africa,-10.602713,11.107246
Candela_Africa,-10.607291,7.4115295
Candela_Africa,-11.312608,0.39186478
Candela_Africa,-11.6573515,3.7167816
Candela_Africa,-10.902918,10.251556
Candela_Africa,-12.731954,1.7530365
Candela_Africa,-12.973437,1.1630859
Chatelier_gut_obesity,-9.847143,7.3638763
Chatelier_gut_obesity,-11.710818,9.319984
Chatelier_gut_obesity,-9.725613,3.6561508
Chatelier_gut_obesity,-9.602615,3.6642609
Chatelier_gut_obesity,-9.588846,6.941635
Chatelier_gut_obesity,-9.933108,8.878204
Chatelier_gut_obesity,-11.154725,6.397896
Chatelier_gut_obesity,-9.747114,6.9073296
Chatelier_gut_obesity,-9.899923,8.232742
Chatelier_gut_obesity,-10.940874,3.9812012
Chatelier_gut_obesity,-10.2952175,3.4574318
Chatelier_gut_obesity,-9.68821,6.3100166
Chatelier_gut_obesity,-10.611239,5.122078
Chatelier_gut_obesity,-9.87289,7.2569733
Chatelier_gut_obesity,-9.7154255,2.7198792
Chatelier_gut_obesity,-9.779467,2.8335876
Chatelier_gut_obesity,-9.50027,3.5806847
Chatelier_gut_obesity,-9.431399,7.5786095
Chatelier_gut_obesity,-10.042677,2.0220299
Chatelier_gut_obesity,-9.455648,7.2628365
Chatelier_gut_obesity,-9.312341,5.797226
Chatelier_gut_obesity,-9.841508,9.202877
Chatelier_gut_obesity,-9.199915,5.718979
Chatelier_gut_obesity,-9.2147045,5.306549
Chatelier_gut_obesity,-9.885988,8.230507
Chatelier_gut_obesity,-9.666511,9.103771
Chatelier_gut_obesity,-9.3231945,7.8950806
Chatelier_gut_obesity,-9.3223295,7.967064
Chatelier_gut_obesity,-9.226705,5.275551
Chatelier_gut_obesity,-10.107101,6.702629
Chatelier_gut_obesity,-9.403075,3.760044
Chatelier_gut_obesity,-10.731469,1.9734802
Chatelier_gut_obesity,-9.547138,6.4450684
Chatelier_gut_obesity,-11.071931,1.4818459
Chatelier_gut_obesity,-9.496051,5.364506
Chatelier_gut_obesity,-9.187058,5.3971825
Chatelier_gut_obesity,-9.977978,2.4124985
Chatelier_gut_obesity,-9.867437,2.4951096
Chatelier_gut_obesity,-9.796712,6.1500854
Chatelier_gut_obesity,-9.185642,5.53751
